TYPE,COMPOUND,POSITIVE,NEGATIVE,NEUTRAL,SENTENCE
0,0.000000,0.000000,0.000000,1.000000,"De la oposición puede ocultar algunos cambios que han sido sustanciales."
0,0.000000,0.000000,0.000000,1.000000,"Alcanza con mirar el Uruguay del 2004 Uruguay previo al gobierno del Frente Amplio que fue el que nos tocó recibir el Uruguay con desigualdades brutales más de un tercio de los uruguayos en situación de pobreza más de 160000 indigentes o sea un 5 por ciento de uruguayos en la indigencia."
0,0.000000,0.000000,0.000000,1.000000,"Primera conclusión."
1,0.051600,0.071000,0.065000,0.863000,"Somos un país más solidario que no ha parado en estos 14 años de gobierno frenteamplistas de incrementar la inversión pública social de intentar hacer esfuerzos por atender la exclusión social."
0,0.000000,0.000000,0.000000,1.000000,"Uruguay es hoy el país que tiene menos pobreza y menos indigencia en América Latina."
1,0.128000,0.123000,0.100000,0.776000,"Esto logrado en momentos de crecimiento económico con viento a favor y también en momentos donde el crecimiento económico no acompañó."
-2,-0.296000,0.000000,0.155000,0.845000,"No hay duda en materia de trabajo y derechos laborales las transformaciones del país."
0,0.000000,0.000000,0.000000,1.000000,"Alcanza."
0,0.000000,0.000000,0.000000,1.000000,"con recordar."
-3,-0.557400,0.000000,0.054000,0.946000,"que previo a los gobiernos del Frente Amplio los trabajadores rurales siquiera tenían derecho a las horas extras ausencia de negociación colectiva 41 por ciento de informalidad laboral o sea más de cuatro de cada diez trabajadoras y trabajadores huasos por fuera de la seguridad social sin derecho a la negociación colectiva un salario mínimo en el año 2004 de 1200 pesos para tener una referencia con 1200 pesos."
-2,-0.296000,0.000000,0.075000,0.925000,"No podías comprarte cuatro garrafas de gas 200 kilos de energía del año 2004 eran 600 pesos o sea medio salario mínimo se te iba en pagar la UTE."
0,0.000000,0.000000,0.000000,1.000000,"O sea esa era la realidad previa a los gobiernos del Frente Amplio se generaron un conjunto de derechos como el fondo de insolvencia patronal como la ley que establece la responsabilidad penal empresarial en materia de salud."
0,0.000000,0.000000,0.000000,1.000000,"Yo creo que debe ser el único precandidato a la presidencia que es usuario de ASSE pero hay medio millón de uruguayos casi que elige nace por opción."
0,0.000000,0.000000,0.000000,1.000000,"previo a que el Frente Amplio fuera gobierno."
0,0.000000,0.000000,0.000000,1.000000,"Había un carné de pobre."
0,0.000000,0.000000,0.000000,1.000000,"La mortalidad infantil en el subsistema público triplicaba la mortalidad infantil."
-2,-0.296000,0.000000,0.155000,0.845000,"Respeto a su sistema privado casi 75000 uruguayos no podían ver por ser pobre."
0,0.000000,0.000000,0.000000,1.000000,"Tuvo que llegar el Frente Amplio la solidaridad internacional del pueblo cubano para instalar un hospital de ojo que atendiera la desmercantilización de ese derecho en materia de educación."
0,0.000000,0.000000,0.000000,1.000000,"Hay 50 mil estudiantes universitarios más."
0,0.000000,0.000000,0.000000,1.000000,"en el interior apenas ingresaban 800 estudiantes por año y el esfuerzo por la descentralización fue tan importante que hoy ingresan casi 4000 por lo tanto creo que repito ni el publicista más esmerado de la oposición puede decir que hay década perdida."
-2,-0.296000,0.000000,0.068000,0.932000,"Alcanza con ver que hoy no hay aborto clandestino porque la mujer tiene derecho a decidir sobre su cuerpo a partir del impulso de la agenda de derechos de los gobiernos de frente."
-2,-0.296000,0.000000,0.068000,0.932000,"compoundSi yo no comparto la referencia que hace el economista también sabemos como termina esa historia endeudamiento porque dejaron un país con una deuda del tamaño del Producto Bruto Interno."
-2,-0.296000,0.000000,0.196000,0.804000,"Ahora la circunstancia cuando la economía no estuvo de cola."
0,0.000000,0.000000,0.000000,1.000000,"para Argentina y Brasil fue colapsar entraron en recesión."
-2,-0.296000,0.000000,0.056000,0.944000,"y es la primera vez en la historia económica del Uruguay desde que nos fundamos como Estado nación que hay recesión en Argentina y Brasil caída del precio de los commodities caída de la inversión y Uruguay no entró en recesión."
0,0.000000,0.000000,0.000000,1.000000,"O sea repito hay que hacer mucho esfuerzo por desconocer la fortaleza que se construyeron a partir de las políticas del Frente Amplio en todos los niveles."
0,0.000000,0.000000,0.000000,1.000000,"O a los muchachos de 17 años."
0,0.000000,0.000000,0.000000,1.000000,"del quintil más bajo de ingresos."
0,0.000000,0.000000,0.000000,1.000000,"en el año 2004 menos de la mitad participaba de la educación hay un 70 por ciento."
-2,-0.296000,0.000000,0.524000,0.476000,"No fue magia."
0,0.000000,0.000000,0.000000,1.000000,"Tuvo que ver con las políticas del Frente Amplio."
-2,-0.296000,0.000000,0.051000,0.949000,"compoundNo parece curioso que sea la oposición la que nos da la receta de cómo administrar la escasez porque en realidad la última vez que tuvieron que administrar la escasez el camino que eligieron fue el recorte de la inversión social."
0,0.000000,0.000000,0.000000,1.000000,"un tercio de recorte de la inversión en Transporte y Obras Públicas y Vivienda en el 2000 cuando asume el gobierno de Jorge Batlle."
0,0.000000,0.000000,0.000000,1.000000,"Para priorizar la reducción del déficit fiscal."
-4,-0.848100,0.000000,0.247000,0.753000,"El resultado fue menos inversión menos actividad económica menos recaudación y más déficit y terminamos en el año 2002 en medio de una crisis brutal recortando la inversión social."
-2,-0.296000,0.000000,0.047000,0.953000,"Repito 41 de cada 100 niños o con dificultades psicomotrices o en alto riesgo según un informe de Inmujeres para el año 2004 que me digan que Paraguay avanza cuando la mitad de los trabajadores en Paraguay no alcanza el mínimo nacional y 78 de cada 100 están fuera."
0,0.000000,0.000000,0.000000,1.000000,"De la caja y además multiplica por 30 la indigencia demuestra el proyecto de país que defiende la oposición."
0,0.000000,0.000000,0.000000,1.000000,"compoundUruguay tiene una estructura productiva extraordinariamente primeriza y tiene que incorporar valor agregado para lo cual necesita una fuerte inversión en investigación más desarrollo requiere un papel de las empresas públicas más dinámico y potente del punto de vista de las compras del Estado requiere generar fondos."
0,0.000000,0.000000,0.000000,1.000000,"Que financien la posibilidad del cambio en la matriz puede articularse."
-4,-0.778300,0.000000,0.115000,0.885000,"Creo que hoy es posible porque tiene al Inefop que antes no tenía el até que antes no tenía una universidad de la República centralizada que antes no tenía y una UTU que pasó de 19 a 80 carreras terciarias para pensar cambiar la matriz productiva y también la integración regional que no es solo comercial a ver el Fondo de Convergencia Estructural del Mercosur lo que intenta hacer es trabajar las asimetrías del bloque regional."
0,0.000000,0.000000,0.000000,1.000000,"por ejemplo la construcción de la conexión energética con Brasil fue posible gracias al Fondo de Convergencia Estructural del Mercosur la Declaración Sociolaboral del Mercosur que debiera transformarse en un estatus de generar condiciones de protocolo para que también la integración abarcará componentes de lo laboral que la integración abarque componentes de la investigación."
0,0.000000,0.000000,0.000000,1.000000,"Miren el Centro de Biología Estructural del Mercosur es una experiencia pero tendría que haber más."
-2,-0.296000,0.000000,0.081000,0.919000,"O sea yo creo que los pueblos de América Latina salen del subdesarrollo si se integra hay que pensar una integración profunda y no solamente comercial también cultural."
0,0.000000,0.000000,0.000000,1.000000,"También."
0,0.000000,0.000000,0.000000,1.000000,"También de interconexión productiva de complementariedad entre industrial."
0,0.000000,0.000000,0.000000,1.000000,"Hay avances de la cadena automotriz que tuvieron que ver con el trabajo de uruguayos que se debieron avanzar en esa dirección."
-2,-0.296000,0.000000,0.196000,0.804000,"Quiere decir que no comerciamos con el resto del mundo."
0,0.000000,0.000000,0.000000,1.000000,"Claro que sí."
2,0.340000,0.088000,0.000000,0.912000,"Yo hace años vengo ha tenido a los trabajadores de los sitios y los trabajadores dependen el recambio varietal actual de las exportaciones que se hacen a Estados Unidos."
-2,-0.296000,0.000000,0.136000,0.864000,"El problema es en los acuerdos comerciales no incorporar componentes que nos limiten la soberanía."
-2,-0.296000,0.000000,0.046000,0.954000,"A mí me cuesta pensar que Chile que aplicó un programa que creo que Talvi y conoce muy bien que es el del ladrillo no colocado por la social aplicado en medio de la dictadura grotesca de Pinochet en medio de esa circunstancia tan dura sea un ejemplo a seguir."
-3,-0.624900,0.000000,0.146000,0.854000,"Es de los países más desiguales de América Latina Chile hay derechos laborales que se desconocen de manera brutal como el de la negociación colectiva."
-3,-0.557400,0.000000,0.375000,0.625000,"Sin embargo se nos muestra como modelo."
-2,-0.296000,0.000000,0.073000,0.927000,"A mí me sorprende que el economista Talvi diga que las relaciones internacionales del Partido Colorado no tienen en cuenta aspectos ideológicos como una epidemia la última vez que gobernaron."
0,0.000000,0.000000,0.000000,1.000000,"y hubo un país muy solidario que nos ofreció vacunas que fue Cuba."
0,0.000000,0.000000,0.000000,1.000000,"Se llegó a interpelar al ministro de Salud porque le interesó más."
1,0.051600,0.146000,0.000000,0.854000,"rechazar a Cuba que aparte de formarnos médicos gratis."
0,0.000000,0.000000,0.000000,1.000000,"Más de 500 médicos uruguayos se han formado en Cuba rechazar la posibilidad acceder a las vacunas."
0,0.000000,0.000000,0.000000,1.000000,"O sea eligió la postura ideológica que la salud de la gente."
0,0.000000,0.000000,0.000000,1.000000,"Hoy hay 70 mil uruguayos que pueden ver gracias a que se fundó un hospital de ojos por la solidaridad cubana."
-2,-0.296000,0.000000,0.128000,0.872000,"Tendríamos que agradecer todos los días eso de un derecho que desde acá no le reconocía."
0,0.000000,0.000000,0.000000,1.000000,"compoundA ver en los últimos dos años fueron asesinados en un país de América Latina 100 militantes campesinos y ambientalistas."
0,0.000000,0.000000,0.000000,1.000000,"En Brasil."
-3,-0.700300,0.000000,0.592000,0.408000,"Sin embargo eso no merece repudio."
0,0.000000,0.000000,0.000000,1.000000,"El año pasado el año pasado en Colombia."
0,0.000000,0.000000,0.000000,1.000000,"cada cuatro días."
0,0.000000,0.000000,0.000000,1.000000,"fue asesinado un dirigente sindical en Honduras."
0,0.000000,0.000000,0.000000,1.000000,"después de un proceso electoral donde se expulsó a la comunidad internacional."
0,0.000000,0.000000,0.000000,1.000000,"Hubo más de 1500 presos y 1500 presos políticos y muchos asesinados en las calles."
0,0.000000,0.000000,0.000000,1.000000,"Hay problemas de derechos humanos en América Latina pero está difícil para pensar que los problemas de derechos humanos en América Latina están solamente en Venezuela."
1,0.102700,0.043000,0.000000,0.957000,"También tenemos una discusión Kedar que sea un poco más profunda del punto de vista de defender un elemento central para el pueblo uruguayo como los derechos humanos pero en todas partes."
0,0.000000,0.000000,0.000000,1.000000,"También criticar cuando vemos niños inmigrantes presos en Estados Unidos."
-2,-0.296000,0.000000,0.355000,0.645000,"compoundBueno de vuelta no."
0,0.000000,0.000000,0.000000,1.000000,"O sea en teoría."
0,0.000000,0.000000,0.000000,1.000000,"parece que la oposición es la que está abierta al mundo."
-3,-0.557400,0.000000,0.089000,0.911000,"y el Frente Amplio es el que está negado a poder comerciar sin embargo en los gobiernos del Frente Amplio es que se abrió más mercados que nunca nunca acortamos a tantos países como los gobiernos del Frente Amplio y parte de."
-3,-0.624900,0.000000,0.163000,0.837000,"Del 2002 parte de las debilidades de la crisis del 2002 es que teníamos mercados que está exclusivamente concentrado en lo regional."
0,0.000000,0.000000,0.000000,1.000000,"Entonces la pregunta tendría que ser ustedes que gobernaron casi toda la vida."
0,0.000000,0.000000,0.000000,1.000000,"Por qué esa cantidad de ideas tan maravillosas que tienen para el Uruguay."
-2,-0.296000,0.000000,0.034000,0.966000,"No les aplicaron cuando fueron gobierno porque en realidad cuando fueron gobierno los datos fueron los que fueron en la recesión pero también fueron los que fueron en los noventa donde arrancamos con un desempleo del 8 por ciento y terminamos con un desempleo del 12 donde el salario mínimo nacional bajó a la mitad en crecimiento en su capacidad de compra del 90 al 99."
0,0.000000,0.000000,0.000000,1.000000,"compoundBueno uno puede comparar lo que fueron los veinte años de gobiernos de los partidos tradicionales."
0,0.000000,0.000000,0.000000,1.000000,"Previo ascenso al Frente Amplio los 15 años del Frente aunque la comparación es muy notoria."
0,0.000000,0.000000,0.000000,1.000000,"Primer gobierno del Partido Colorado tenía una consigna del del presidente que es el mismo que está ahora como precandidato nadie me gana una huelga."
-2,-0.296000,0.000000,0.041000,0.959000,"Después arranca la pulverización de la negociación colectiva en tiempo breve en tiempo récord en tiempo récord tras el anuncio de que no era liquidar la negociación colectiva sino flexibilizar cuestiones que escuchamos ahora en la campaña electoral se pulverizó un 85 por ciento que tenía Consejos de Salarios pasó a un 13."
-3,-0.557400,0.000000,0.098000,0.902000,"La política de derechos laborales fue la política de pulverizar derechos laborales sin duda la tasa de sindicalización fue la más baja entre otras cosas porque en esa época se amparaban las listas negras."
-2,-0.296000,0.000000,0.167000,0.833000,"No este debate acerca de la Heute sino para perseguir militantes sindicales."
-2,-0.296000,0.000000,0.268000,0.732000,"Miremos si no la década del 90."
0,0.000000,0.000000,0.000000,1.000000,"Despedían a integrantes del Secretariado Ejecutivo de la central Abdalah de la 1ra."
0,0.000000,0.000000,0.000000,1.000000,"El trabajador del gas al Ismael Fuentes de la Pepsi ante la complicidad absoluta de los gobiernos de ese tiempo además integrando las relaciones laborales por los mismos que después pasaron a asesorar a las cámaras empresariales."
0,0.000000,0.000000,0.000000,1.000000,"En este tiempo el cambio en el sentido de derecho fue profundo profundo."
0,0.000000,0.000000,0.000000,1.000000,"Lo decíamos recién con respecto a los rurales pero podemos seguir Cuánto avanzó en materia de formalización."
0,0.000000,0.000000,0.000000,1.000000,"Cuánto avanzó aprobando el Convenio 155 por seguridad 50 mil accidentes por año promedio."
0,0.000000,0.000000,0.000000,1.000000,"Había antes de que el Frente Amplio aprobara una norma para establecer que es delito poner en riesgo de muerte a trabajadores."
0,0.000000,0.000000,0.000000,1.000000,"Aquella se acuerda que la oposición sostenía que era inconstitucional."
-2,-0.296000,0.000000,0.121000,0.879000,"No solamente fue constitucional sino que redujo de 50 mil accidentes por año a 30000 accidentes por año."
0,0.000000,0.000000,0.000000,1.000000,"En los 90 durante toda la década los datos del Banco de Seguros dicen que por cada 100 mil trabajadores registrados a la Seguridad Social diez accidentes mortales en el período de gobierno del Frente Amplio por cada 100 mil trabajadores registrados en la Seguridad Social bajamos a un tercio de siniestros mortales."
0,0.000000,0.000000,0.000000,1.000000,"O sea los derechos laborales tienen que ver con la vida de la gente tienen que ver con que generemos si diálogo social."
0,0.000000,0.000000,0.000000,1.000000,"Difícilmente un sector con más diálogo social que la construcción tiene hijos de trabajadores becados haciendo estudios terciarios."
1,0.051600,0.047000,0.043000,0.911000,"Es un acuerdo entre empresarios y trabajadores ha entregado más de 20 000 préstamos de materiales no reintegrables para que trabajadores mejoren su hogar en acuerdo entre empresarios y trabajadores genera la condición de que 14000 hijos de trabajadores tengan arreglo odontológico por año y 8000 compañeros pasen por cursos de formación."
0,0.000000,0.000000,0.000000,1.000000,"para el Diálogo Social."
0,0.000000,0.000000,0.000000,1.000000,"Difícilmente encuentren la experiencia de más diálogo social que nosotros."
-2,-0.296000,0.000000,0.075000,0.925000,"Ahora no es tiempo de poner en la agenda los trabajadores del arroz que chupan tóxico o los trabajadores del citrus que cobran dos y tres meses tarde la cosecha."
-2,-0.296000,0.000000,0.155000,0.845000,"Por qué no ponemos el eje en las formas de precarización del trabajo."
0,0.000000,0.000000,0.000000,1.000000,"compoundSi hay 400 cooperativas en Uruguay que hoy tienen préstamos a 400 Talvi de las 400 sabes cuántas tienen deuda."
0,0.000000,0.000000,0.000000,1.000000,"6 de cada 100. que son las que vos mirás esas 6 de cada 100 otras 94 están al día."
-3,-0.700300,0.000000,0.279000,0.721000,"Sin embargo parece que la economía social autogestionaria no funciona y esa es la idea que se instala."
-2,-0.296000,0.000000,0.084000,0.916000,"No es culpa de tal y yo creo que en efecto foco en sentido del aporte del sistema cooperativo al desarrollo productivo intenta generar esa imagen."
0,0.000000,0.000000,0.000000,1.000000,"La derecha lo que nos está planteando es peor que el 2004. porque antes del 2004 había huelgas."
0,0.000000,0.000000,0.000000,1.000000,"y había huelgas que terminaban en los centros de trabajo."
0,0.000000,0.000000,0.000000,1.000000,"O sea aún en los gobiernos de Sanguinetti de la calle el nuevo gobierno de Sanguinetti y el dBASE había huelgas que terminaban como parte del ejercicio de huelga dentro de los centros de trabajo lo que nos plantea ahora es que va a retroceder va a ir más atrás aún de lo que fue ese período nefasto del punto de vista de las relaciones laborales del 85 al 2005."
0,0.000000,0.000000,0.000000,1.000000,"Es bueno que lo tengamos presente
compoundSí, repito, en el año 93 estuve tres meses ocupando un centro de trabajo en medio de la huelga."
0,0.000000,0.000000,0.000000,1.000000,"La huelga de la construcción tuvo que ver con que los partidos tradicionales ofrecían para un 81 por ciento de incremento de la inflación."
-3,-0.526700,0.000000,0.065000,0.935000,"Esa era la inflación de ese tiempo un 27 por ciento aumento ya no empezaron las ocupaciones con los gobiernos del Frente Amplio había ocupaciones ante lo que estoy diciendo es que lo que dice la Organización Internacional del Trabajo que la ocupación es parte del ejercicio del derecho de huelga lo que nos prometen es que van a recortar pero no hablan en sus programas."
0,0.000000,0.000000,0.000000,1.000000,"De los trabajadores de la forestación que tienen la mitad de los aportes a la caja."
-3,-0.526700,0.000000,0.112000,0.888000,"No hablan en sus programas de dónde va estar la preocupación por los trabajadores y trabajadoras de la industria frigorífica que la mitad se jubila por discapacidad no colocan en su programa en su propuesta en su iniciativa."
0,0.000000,0.000000,0.000000,1.000000,"Cómo hacemos para combatir la informalidad."
0,0.000000,0.000000,0.000000,1.000000,"Claro es muy difícil si cuando gobernaban el 40 por ciento de los trabajadores estaban en informalidad, ¿no?"
