TYPE;COMPOUND;POSITIVE;NEGATIVE;NEUTRAL;SENTENCE
0;0.0;0;0;1;Una década mezquina en la que privilegiamos el presente y comprometimos el futuro de nuestros hijos.
0;0.0;0;0;1;una década mentirosa.
0;0.0;0;0;1;una década mentirosa porque tuvimos una bonanza formidable.
1;-0.296;0;0;0;Como la que el país no había tenido en 70 años entre 2004 y 2013 2005 2014.
1;-0.296;0;0;0;Precio de los productos agropecuarios la soja el trigo el maíz la carne la lana el arroz que impulsaron un crecimiento formidable muy atípico que ocurrió en absolutamente toda América Latina no sólo en el Uruguay.
1;-0.5267;0;0;0;Por supuesto bueno sería que no hubiera ocurrido crecieron los ingresos crecieron los salarios crecieron bajó la pobreza bajó la indiferencia y parte de los logros que Oscar acaba de señalar bueno sería que no hubieran ocurrido en ese esquema era un bollo administrar una abundancia que sólo ocurre cada 70 años pero lo cierto es que en los últimos cinco años se terminó la suerte.
0;0.0;0;0;1;se terminó la suerte y el Frente Amplio tuvo que administrar la escasez.
0;0.0;0;0;1;Y qué ocurrió en los últimos cinco años.
0;0.0;0;0;1;Este es el país que el Frente Amplio va a dejar primero en la producción nacional contra las cuerdas empresas que cierran se achican problemas financieros que dejan trabajadores cesantes 60000 empleos se perdieron en los últimos cuatro.
1;-0.296;0;0;0;Uno de cada cuatro jóvenes no pueden encontrar trabajo y piensan en emigrar como su único futuro.
1;-0.296;0;0;0;Segundo gastamos como si no hubiera mañana.
1;-0.296;0;0;0;irresponsablemente y hoy tenemos un agujero fiscal que no sabemos cómo cubrir.
0;0.0;0;0;1;Nos estamos endeudando peligrosamente y sabemos como terminan esas películas.
0;0.0;0;0;1;Tercero.
0;0.0;0;0;1;la mitad de los chiquilines que nacen en el país hoy nacen en los cinturones de pobreza que rodean a todas las periferias pobres urbanas.
0;0.0;0;0;1;y solo 19 de 100 terminan el liceo.
0;0.0;0;0;1;Lo dejamos abandonados condenados a la changa a la informalidad a la dependencia de la tarjeta del Mides o peor aún al delito y. a. la droga.
1;-0.296;0;0;0;No en vano.
1;-0.296;0;0;0;No en vano.
0;0.0;0;0;1;las rapiñas van a batir el récord después de una década de bonanza excepcional y los homicidios.
