WORD,COUNT
má,78
año,52
vamo,47
derecho,38
trabajador,38
frent,36
amplio,34
porqu,33
paí,32
gobierno,31
si,30
uruguay,29
trabajo,25
hoy,23
tien,22
dond,22
uruguayo,21
cada,21
ciento,20
tenemo,20
ver,19
inversión,18
social,18
pública,17
nosotro,17
hacer,16
est,16
ahora,16
mundo,16
oposición,14
pued,14
américa,14
creo,14
público,14
educación,14
empresa,14
empleo,14
lugar,14
cinco,13
cómo,13
política,13
tiempo,13
meno,12
latina,12
tener,12
ser,12
va,12
hace,12
partido,12
huelga,12
empresario,12
part,11
último,11
peor,11
manera,11
realidad,10
producto,10
toda,10
oscar,10
estamo,10
poder,10
relacion,10
cambio,9
alcanza,9
laboral,9
mil,9
década,9
primero,9
van,9
despué,9
vida,9
ant,9
primera,8
cuatro,8
casi,8
important,8
bueno,8
sabemo,8
bien,8
argentina,8
brasil,8
vez,8
sabe,8
patria,8
mercado,8
cuba,8
democracia,8
acá,8
millon,8
cosa,8
dólare,8
precisamo,8
pobreza,7
estudiant,7
decir,7
entr,7
precio,7
administrar,7
mitad,7
batll,7
político,7
desd,7
haber,7
enorm,7
terminar,7
parec,7
grand,7
venezuela,7
comerci,7
mercosur,7
humano,7
desarrollo,7
punto,7
vista,7
generar,7
país,7
discusión,7
usted,7
poner,7
construir,7
barrio,7
sido,6
salario,6
peso,6
medio,6
único,6
tan,6
futuro,6
escasez,6
nacion,6
dejan,6
pueden,6
fiscal,6
solo,6
liceo,6
aún,6
economía,6
nivel,6
mejor,6
déficit,6
crisi,6
sino,6
doctor,6
pensar,6
construcción,6
colorado,6
siempr,6
cantidad,6
primer,6
sector,6
legítimo,6
cooperativa,6
proteg,6
gobierna,6
incrementaron,6
pueda,6
esfuerzo,5
momento,5
crecimiento,5
materia,5
negociación,5
colectiva,5
informalidad,5
seguridad,5
pagar,5
salud,5
respeto,5
repito,5
sobr,5
partir,5
talvi,5
hijo,5
terminan,5
mayor,5
claro,5
da,5
vivienda,5
ademá,5
gestión,5
hecho,5
unido,5
chileno,5
vender,5
forma,5
dictadura,5
do,5
militar,5
necesita,5
investigación,5
posibl,5
trabajar,5
centro,5
experiencia,5
acuerdo,5
programa,5
embargo,5
persona,5
allí,5
central,5
idea,5
tradicional,5
campaña,5
debat,5
período,5
tre,5
ocupación,5
tema,5
intendencia,5
gasto,5
tarifa,5
junto,5
previo,4
somo,4
siquiera,4
diez,4
mínimo,4
ga,4
fondo,4
responsabilidad,4
precandidato,4
pobr,4
solidaridad,4
internacion,4
pueblo,4
apena,4
ingreso,4
producción,4
problema,4
segundo,4
chiquilin,4
récord,4
sociedad,4
vive,4
proyecto,4
recesión,4
bajo,4
chile,4
caja,4
durant,4
ideológica,4
cualquier,4
diplomacia,4
fuerza,4
comercial,4
aquí,4
permita,4
recuperar,4
mayoría,4
haciendo,4
viola,4
productiva,4
fuert,4
matriz,4
república,4
integración,4
ejemplo,4
seguir,4
gent,4
agradec,4
podemo,4
mismo,4
difícil,4
pasa,4
nunca,4
cuánto,4
accident,4
diálogo,4
rol,4
sindicato,4
promov,4
mucha,4
hablan,4
vece,4
gasta,4
ahorrar,4
educativa,4
cara,4
expresaron,4
guris,4
estudiar,4
permitan,4
profundic,4
alguno,3
mirar,3
brutal,3
tercio,3
situación,3
indigencia,3
labor,3
ley,3
debe,3
sistema,3
privado,3
llegar,3
universitario,3
bonanza,3
formid,3
arroz,3
absolutament,3
sólo,3
supuesto,3
crecieron,3
bajó,3
abundancia,3
terminó,3
dejar,3
perdieron,3
jóvene,3
tercero,3
cinturon,3
mide,3
delito,3
homicidio,3
mundial,3
ve,3
voto,3
lamentablement,3
capacidad,3
economista,3
termina,3
historia,3
dejaron,3
económica,3
caída,3
mal,3
paraguay,3
entrar,3
toca,3
terminamo,3
niño,3
riesgo,3
inform,3
dónde,3
exterior,3
acceso,3
productor,3
chilena,3
mandar,3
encuentran,3
soberanía,3
organizar,3
población,3
valor,3
requier,3
papel,3
posibilidad,3
region,3
estructur,3
gracia,3
component,3
miren,3
profunda,3
solament,3
vengo,3
modelo,3
día,3
nadi,3
proceso,3
asesinado,3
pasado,3
elector,3
preso,3
vemo,3
inmigrant,3
contigo,3
defensa,3
repudi,3
abrió,3
teníamo,3
entonc,3
pregunta,3
acerca,3
recién,3
respecto,3
formación,3
mese,3
cuestión,3
así,3
funciona,3
confianza,3
gane,3
constitución,3
ocupacion,3
queremo,3
productivo,3
sanguinetti,3
atrá,3
tengamo,3
terminaron,3
incremento,3
hacemo,3
razon,3
servicio,3
unidad,3
gasoil,3
contribuyent,3
competir,3
impacto,3
presupuesto,3
demá,3
sueldo,3
semana,3
boleto,3
mérito,3
investigar,3
número,3
cargo,3
carta,3
orgánica,3
capac,3
princip,3
puesto,3
medida,3
sé,3
infelic,3
próximo,3
bajar,3
crear,3
club,3
octubr,3
generacion,3
pequeño,3
desigualdad,2
solidario,2
parado,2
frenteamplista,2
incrementar,2
intentar,2
atend,2
exclusión,2
logrado,2
económico,2
favor,2
duda,2
rural,2
hora,2
trabajadora,2
referencia,2
energía,2
ute,2
establec,2
presidencia,2
nace,2
mortalidad,2
infantil,2
instalar,2
hospit,2
ojo,2
interior,2
mujer,2
agenda,2
present,2
mentirosa,2
tuvimo,2
ocurrió,2
ocurrido,2
acaba,2
cierto,2
suert,2
encontrar,2
piensan,2
mañana,2
nacen,2
rodean,2
periferia,2
urbana,2
changa,2
dependencia,2
vano,2
batir,2
excepcion,2
epidemia,2
según,2
organización,2
violenta,2
plantea,2
deuda,2
tamaño,2
interno,2
circunstancia,2
quintil,2
clase,2
colombia,2
repartir,2
luego,2
marzo,2
curioso,2
última,2
camino,2
recort,2
jorg,2
resultado,2
actividad,2
dificultad,2
defiend,2
manejar,2
ministro,2
estaríamo,2
destino,2
amistad,2
hicieron,2
socialista,2
democristiano,2
liberal,2
conquista,2
peaj,2
bárbaro,2
funden,2
neozelandesa,2
gran,2
colocar,2
zona,2
libr,2
comercio,2
ágil,2
dinámica,2
diplomática,2
fin,2
diferent,2
exactament,2
colocado,2
extraordinariament,2
incorporar,2
dinámico,2
compra,2
inefop,2
universidad,2
utu,2
pasó,2
terciaria,2
cambiar,2
convergencia,2
intenta,2
energética,2
debiera,2
salen,2
avanc,2
cadena,2
avanzar,2
quier,2
cuesta,2
internacional,2
cuenta,2
ideológico,2
gobernaron,2
vacuna,2
llegó,2
rechazar,2
apart,2
médico,2
acced,2
tendríamo,2
mirá,2
ir,2
vien,2
contrario,2
empezaron,2
permitieron,2
militant,2
comunidad,2
call,2
defend,2
ningún,2
llevar,2
basada,2
asunto,2
vuelta,2
exclusivament,2
dato,2
desempleo,2
consigna,2
gana,2
escuchamo,2
miremo,2
ejecutivo,2
profundo,2
avanzó,2
convenio,2
registrado,2
mortal,2
difícilment,2
préstamo,2
genera,2
compañero,2
tard,2
ponemo,2
eje,2
protección,2
organizan,2
lucha,2
explotador,2
obtien,2
fond,2
manejada,2
propiedad,2
quieren,2
permitida,2
pudieran,2
falta,2
vía,2
so,2
cuánta,2
tal,2
foco,2
aport,2
cooperativo,2
derecha,2
terminaban,2
nuevo,2
ejercicio,2
dentro,2
hablando,2
libertad,2
régimen,2
aceptado,2
estuv,2
inflación,2
dice,2
forestación,2
industria,2
discapacidad,2
propuesta,2
iniciativa,2
combatir,2
gobernaban,2
buscar,2
niego,2
familiar,2
inteligent,2
cobra,2
recurso,2
darl,2
hizo,2
obtuvimo,2
planta,2
contenido,2
azufr,2
nació,2
vieja,2
costó,2
saben,2
acomodo,2
caro,2
costo,2
multiplicamo,2
penúltimo,2
gener,2
brotan,2
salvo,2
gobernó,2
salto,2
hacía,2
salir,2
funcionario,2
empleado,2
pone,2
cabeza,2
permit,2
cuidado,2
fortalec,2
gobernaba,2
duplicó,2
estudiantil,2
gratuito,2
maestro,2
gastaron,2
vengan,2
importa,2
votó,2
dieron,2
modificación,2
alta,2
armada,2
volver,2
discutir,2
creemo,2
definitiva,2
pensamo,2
familia,2
brecha,2
alternativa,2
quiero,2
segregación,2
territori,2
imprescind,2
vulnerado,2
humild,2
infancia,2
artiga,2
privilegiado,2
convocando,2
esperanza,2
región,2
convocamo,2
vaca,2
cabo,2
puedan,2
directorio,2
campo,2
andar,2
cumplir,2
tarea,2
conocí,2
iban,2
pudo,2
venga,2
vulner,2
red,2
ciudad,2
condenamo,2
simplement,2
empecé,2
buena,2
ojalá,2
base,2
domingo,2
organizars,2
espacio,2
votar,2
padr,2
orgulloso,2
español,2
necesitamo,2
junio,2
jugamo,2
óscar,1
andrad,1
ocultar,1
sustancial,1
tocó,1
recibir,1
indigent,1
conclusión,1
viento,1
acompañó,1
transformacion,1
recordar,1
extra,1
ausencia,1
huaso,1
podía,1
comprart,1
garrafa,1
kilo,1
iba,1
previa,1
generaron,1
conjunto,1
insolvencia,1
patron,1
penal,1
empresari,1
usuario,1
ass,1
millón,1
elig,1
opción,1
carné,1
subsistema,1
triplicaba,1
podían,1
cubano,1
atendiera,1
desmercantilización,1
ingresaban,1
descentralización,1
ingresan,1
publicista,1
esmerado,1
perdida,1
aborto,1
clandestino,1
decidir,1
cuerpo,1
impulso,1
ernesto,1
mezquina,1
privilegiamo,1
comprometimo,1
agropecuario,1
soja,1
trigo,1
maíz,1
carn,1
lana,1
impulsaron,1
atípico,1
indiferencia,1
logro,1
señalar,1
esquema,1
bollo,1
ocurr,1
cuerda,1
cierran,1
achican,1
financiero,1
cesant,1
emigrar,1
gastamo,1
irresponsablement,1
agujero,1
cubrir,1
endeudando,1
peligrosament,1
película,1
dejamo,1
abandonado,1
condenado,1
tarjeta,1
droga,1
rapiña,1
cuarto,1
herencia,1
disimularon,1
parecía,1
andaba,1
plana,1
computadora,1
celular,1
auto,1
crispada,1
agresiva,1
fracturada,1
terminado,1
agotado,1
ilusión,1
encarar,1
desafío,1
porvenir,1
nacimo,1
devolverl,1
comparto,1
endeudamiento,1
bruto,1
cola,1
colapsar,1
entraron,1
fundamo,1
nación,1
commod,1
entró,1
desconoc,1
fortaleza,1
construyeron,1
muchacho,1
participaba,1
magia,1
argentinabrasil,1
relativament,1
comparamo,1
perú,1
bolivia,1
empezó,1
distribuir,1
pagando,1
consecuencia,1
siendo,1
bomba,1
toqu,1
incluyendo,1
ganar,1
elección,1
receta,1
eligieron,1
transport,1
obra,1
asum,1
priorizar,1
reducción,1
recaudación,1
recortando,1
psicomotric,1
alto,1
inmujer,1
digan,1
avanza,1
multiplica,1
demuestra,1
vivió,1
independient,1
error,1
sufrimo,1
contagio,1
severo,1
aftosa,1
bancaria,1
heredamo,1
reconocida,1
internacionalment,1
dejó,1
posicionado,1
obtuvo,1
pregunto,1
astori,1
capitán,1
moderación,1
inoculó,1
delirio,1
kirchnerista,1
chavista,1
manejó,1
hubiéramo,1
caso,1
vázquez,1
pedía,1
hiciéramo,1
entrábamo,1
cesación,1
pago,1
conduciendo,1
continent,1
liderado,1
chavismo,1
castrismo,1
delirant,1
unasur,1
telesur,1
oleoducto,1
caraca,1
etcétera,1
cárcel,1
quedar,1
atrapado,1
aprovechar,1
oportunidad,1
brinda,1
salieron,1
conquistar,1
fruta,1
verdura,1
coctel,1
venta,1
desplegada,1
largo,1
ancho,1
oficina,1
proximidad,1
pesar,1
original,1
pintoresca,1
distinta,1
democrática,1
piensa,1
prohibido,1
calificar,1
dado,1
vergüenza,1
cómplice,1
alejándono,1
flagrantement,1
tradicion,1
uruguaya,1
querida,1
estructura,1
primeriza,1
agregado,1
potent,1
financien,1
articulars,1
até,1
centralizada,1
carrera,1
asimetría,1
bloqu,1
conexión,1
declaración,1
sociolabor,1
transformars,1
estatu,1
condicion,1
protocolo,1
abarcará,1
abarqu,1
biología,1
subdesarrollo,1
integra,1
cultur,1
interconexión,1
complementariedad,1
industri,1
automotriz,1
debieron,1
dirección,1
comerciamo,1
resto,1
sitio,1
dependen,1
recambio,1
variet,1
actual,1
exportacion,1
hacen,1
limiten,1
aplicó,1
conoc,1
ladrillo,1
aplicado,1
grotesca,1
pinochet,1
dura,1
desigual,1
desconocen,1
muestra,1
sorprend,1
diga,1
aspecto,1
ofreció,1
interpelar,1
interesó,1
formarno,1
grati,1
formado,1
eligió,1
postura,1
fundó,1
cubana,1
reconocía,1
fracaso,1
modificarlo,1
íbamo,1
venderl,1
inest,1
decí,1
apertura,1
firmaron,1
tratado,1
siguiendo,1
trillo,1
gradual,1
salvaguardia,1
chico,1
campesino,1
ambientalista,1
merec,1
repudio,1
dirigent,1
sindic,1
hondura,1
expulsó,1
kedar,1
elemento,1
criticar,1
puedo,1
lent,1
tipo,1
adelant,1
guatemalteco,1
separado,1
mencionar,1
inconvenient,1
condenarlo,1
severidad,1
interé,1
cordial,1
correcta,1
analizarlo,1
travé,1
organismo,1
pertinent,1
unida,1
oea,1
teoría,1
abierta,1
negado,1
comerciar,1
acortamo,1
debilidad,1
concentrado,1
maravillosa,1
aplicaron,1
noventa,1
arrancamo,1
comparar,1
veint,1
ascenso,1
aunqu,1
comparación,1
notoria,1
president,1
arranca,1
pulverización,1
breve,1
tra,1
anuncio,1
liquidar,1
flexibilizar,1
cuestion,1
pulverizó,1
consejo,1
pulverizar,1
tasa,1
sindicalización,1
baja,1
