WORD,COUNT
abandonado,1
abarcará,1
abarqu,1
abdalah,1
abierta,1
abierto,1
abolengo,1
aborto,1
abramo,1
abrazo,1
abrió,3
absoluta,1
absolutament,3
abundancia,3
acaba,2
academia,1
académica,1
acarrear,1
acaso,1
acced,2
acceso,3
accident,4
aceptado,2
acerca,3
achican,1
acomodo,2
acompañó,1
acortamo,1
activa,1
actividad,2
actual,1
acuerda,1
acuerdo,5
acá,8
adelant,1
ademá,5
adhieren,1
administra,1
administrar,7
afincado,1
afortunada,1
aftosa,1
agenda,2
agotado,1
agradec,4
agradecimiento,1
agregado,1
agresiva,1
agropecuario,1
agrícola,1
agua,1
agujero,1
ahora,16
ahorrar,4
ajust,1
alcanza,9
alejado,1
alejándono,1
alemania,1
alguna,1
alguno,3
algún,1
aljib,1
allá,1
allí,5
alquil,1
alquiler,1
alta,2
alternativa,2
alto,1
amabl,1
ambiental,1
ambientalista,1
amigo,1
amiguismo,1
amistad,2
amparaban,1
amplio,34
américa,14
analizarlo,1
ancap,1
ancha,1
ancho,1
andaba,1
andar,2
andrad,1
aniversario,1
ant,9
antel,1
anterior,1
anuncio,1
apart,2
apena,4
apertura,1
aplaudían,1
aplicado,1
aplicar,1
aplicaron,1
aplicó,1
aport,2
apoyado,1
aprend,1
aprendí,1
aprobando,1
aprobara,1
aprovechar,1
apuntalando,1
aquel,1
aquella,1
aquello,1
aquí,4
araújo,1
argentina,8
argentinabrasil,1
armada,2
armonía,1
arranca,1
arrancamo,1
arreglo,1
arroz,3
articular,1
articulars,1
artiga,2
artística,1
ascenso,1
aserradero,1
asesinado,3
asesorar,1
asimetría,1
asistencia,1
aspecto,1
ass,1
astori,1
asum,1
asunto,2
así,3
at,1
atend,2
atendiera,1
atiend,1
atrapado,1
atraso,1
atrá,3
até,1
atípico,1
aumentado,1
aumentaron,1
aumento,1
aunqu,1
ausencia,1
auto,1
autogestionaria,1
automotriz,1
avanc,2
avanza,1
avanzamo,1
avanzar,2
avanzaron,1
avanzó,2
ayud,1
azufr,2
año,52
aún,6
bachelet,1
baja,1
bajamo,1
bajan,1
bajar,3
bajo,4
bajó,3
balacera,1
balanc,1
bancaria,1
banco,1
barrio,7
basada,2
base,2
basta,1
batir,2
batll,7
batllismo,1
batllista,1
becado,1
becar,1
bella,1
bien,8
biología,1
blanco,1
bloqu,1
boleto,3
bolivia,1
bollo,1
bomba,1
bonanza,3
brasil,8
brecha,2
breve,1
brinda,1
brotan,2
brutal,3
brutalment,1
bruto,1
buena,2
bueno,8
buscar,2
bárbaro,2
bélgica,1
cabeza,2
cabo,2
cada,21
cadena,2
caducidad,1
caif,1
caja,4
calidad,1
calificación,1
calificar,1
call,2
cambiar,2
cambiario,1
cambio,9
camino,2
campaña,5
campesino,1
campo,2
cancha,1
cantera,1
cantidad,6
cao,1
capac,3
capacidad,3
capaz,1
capit,1
capitán,1
cara,4
caraca,1
carcelaria,1
cargo,3
carn,1
carnero,1
carné,1
caro,2
carolina,1
carrera,1
carta,3
cascabel,1
cascot,1
casi,8
caso,1
castrismo,1
caída,3
ceibal,1
celular,1
cena,1
central,5
centralizada,1
centro,5
cerrar,1
cesación,1
cesant,1
cesar,1
changa,2
chavismo,1
chavista,1
chico,1
chile,4
chilena,3
chileno,5
chiquilin,4
chiquilín,1
choclo,1
chupan,1
cicatrizar,1
cien,1
ciencia,1
ciento,20
científica,1
cierran,1
cierta,1
cierto,2
cinco,13
cinturon,3
circunstancia,2
citru,1
ciudad,2
civilizada,1
clandestino,1
clarament,1
claro,5
clase,2
clientelismo,1
clientelista,1
club,3
coalición,1
cobra,2
cobran,1
coctel,1
cola,1
colapsar,1
colectiva,5
colocado,2
colocan,1
colocar,2
colombia,2
colorado,6
combatir,2
combust,1
comerci,7
comercial,4
comerciamo,1
comerciar,1
comercio,2
cometido,1
cometió,1
commod,1
compara,1
comparación,1
comparamo,1
comparar,1
compartida,1
compartir,1
comparto,1
compañera,1
compañero,2
compañía,1
competencia,1
competent,1
competir,3
compiten,1
compleja,1
complement,1
complementan,1
complementariedad,1
completar,1
completo,1
complicidad,1
component,3
compra,2
comprart,1
comprometiendo,1
comprometimo,1
computadora,1
comunidad,2
concentrado,1
concepto,1
conclusión,1
concurso,1
condenado,1
condenamo,2
condenarlo,1
condenaron,1
condicion,1
condición,1
conduciendo,1
conducta,1
conectividad,1
conexión,1
confianza,3
conflicto,1
confrontación,1
conjunto,1
conoc,1
conocimiento,1
conocimo,1
conocí,2
conquista,2
conquistar,1
consagrado,1
consecuencia,1
consejo,1
consigna,2
constitucion,1
constitución,3
construcción,6
construida,1
construir,7
construyeron,1
construyó,1
contagio,1
contención,1
contenedor,1
contenido,2
contigo,3
continent,1
contraposición,1
contrario,2
contribuyent,3
contá,1
convenio,2
convergencia,2
conviccion,1
convicción,1
convivía,1
convocaban,1
convocamo,2
convocando,2
