WORD,COUNT
vamo,47
má,32
año,26
paí,21
derecho,19
frent,18
amplio,18
si,17
trabajador,16
nosotro,16
porqu,15
empleo,14
tenemo,14
mundo,14
trabajo,13
hoy,13
uruguayo,13
tener,11
uruguay,10
oscar,10
est,10
peor,10
dond,10
empresario,10
producto,9
cinco,9
va,9
tien,9
gobierno,9
primero,8
política,8
hacer,8
público,8
cada,7
último,7
sabemo,7
van,7
lugar,7
pued,7
terminar,7
grand,7
vida,7
ser,7
futuro,6
cómo,6
estamo,6
bien,6
batll,6
mejor,6
sabe,6
enorm,6
doctor,6
venezuela,6
poder,6
ciento,6
democracia,6
millon,6
legítimo,6
proteg,6
hace,6
usted,6
dólare,6
administrar,5
empresa,5
pueden,5
fiscal,5
terminan,5
liceo,5
ahora,5
haber,5
tiempo,5
gestión,5
manera,5
hecho,5
patria,5
chileno,5
comerci,5
cuba,5
país,5
allí,5
relacion,5
educación,5
década,4
precio,4
américa,4
pobreza,4
escasez,4
nacion,4
cuatro,4
único,4
chiquilin,4
solo,4
aún,4
despué,4
vive,4
político,4
crisi,4
argentina,4
vender,4
mercado,4
diplomacia,4
fuerza,4
aquí,4
permita,4
recuperar,4
dictadura,4
creo,4
viola,4
persona,4
rol,4
sindicato,4
cooperativa,4
trabajar,4
cosa,4
ocupación,4
huelga,4
generar,4
da,4
cambio,4
hijo,3
bonanza,3
formid,3
absolutament,3
toda,3
sólo,3
supuesto,3
bueno,3
crecieron,3
part,3
abundancia,3
terminó,3
dejar,3
producción,3
dejan,3
perdieron,3
jóvene,3
tercero,3
cinturon,3
homicidio,3
mundial,3
mayor,3
realidad,3
sociedad,3
lamentablement,3
proyecto,3
desd,3
déficit,3
entrar,3
partir,3
toca,3
sino,3
durant,3
exterior,3
ideológica,3
unido,3
acceso,3
economía,3
productor,3
chilena,3
comercial,3
mandar,3
encuentran,3
mercosur,3
forma,3
mayoría,3
haciendo,3
do,3
sido,3
respeto,3
humano,3
podemo,3
contigo,3
defensa,3
pasa,3
parec,3
repudi,3
siempr,3
social,3
acá,3
ver,3
así,3
promov,3
siquiera,3
gane,3
constitución,3
sector,3
queremo,3
terminaron,3
razon,3
servicio,3
vece,3
gasoil,3
contribuyent,3
meno,3
competir,3
impacto,3
gasta,3
número,3
important,3
tema,3
responsabilidad,3
construir,3
próximo,3
gasto,3
ahorrar,3
bajar,3
crear,3
poner,3
pueda,3
primera,3
tre,3
generacion,3
pequeño,3
mentirosa,2
entr,2
arroz,2
crecimiento,2
ocurrió,2
latina,2
ocurrido,2
bajó,2
acaba,2
suert,2
piensan,2
segundo,2
mañana,2
mitad,2
nacen,2
rodean,2
periferia,2
urbana,2
changa,2
informalidad,2
dependencia,2
delito,2
vano,2
batir,2
récord,2
excepcion,2
salud,2
somo,2
capacidad,2
mal,2
clase,2
chile,2
claro,2
luego,2
marzo,2
manejar,2
estaríamo,2
destino,2
amistad,2
socialista,2
democristiano,2
liberal,2
conquista,2
pagar,2
peaj,2
cualquier,2
bárbaro,2
funden,2
neozelandesa,2
gran,2
zona,2
libr,2
comercio,2
ágil,2
dinámica,2
soberanía,2
diplomática,2
partido,2
exactament,2
nivel,2
nadi,2
contrario,2
mismo,2
acuerdo,2
permitieron,2
llevar,2
inmigrant,2
alguno,2
basada,2
asunto,2
valor,2
protección,2
cuestión,2
organizan,2
vemo,2
laboral,2
explotador,2
obtien,2
funciona,2
fond,2
manejada,2
mucha,2
propiedad,2
quieren,2
tan,2
permitida,2
privado,2
pudieran,2
falta,2
vía,2
vez,2
so,2
república,2
hablando,2
régimen,2
niego,2
inteligent,2
desarrollo,2
cobra,2
recurso,2
darl,2
ejemplo,2
obtuvimo,2
hacemo,2
planta,2
bajo,2
contenido,2
azufr,2
unidad,2
nació,2
vieja,2
costó,2
acomodo,2
caro,2
cuánto,2
gent,2
colorado,2
gastaron,2
vengan,2
importa,2
tarifa,2
cara,2
armada,2
volver,2
debe,2
discusión,2
pensamo,2
familia,2
brasil,2
decir,2
vaca,2
fuert,2
cabo,2
directorio,2
andar,2
primer,2
formación,2
cumplir,2
tarea,2
venga,2
necesita,2
vulner,2
red,2
modelo,2
ciudad,2
condenamo,2
simplement,2
barrio,2
buena,2
sé,2
padr,2
dejaron,2
puesto,2
orgulloso,2
apena,2
español,2
casi,2
necesitamo,2
junio,2
jugamo,2
mezquina,1
privilegiamo,1
present,1
comprometimo,1
tuvimo,1
agropecuario,1
soja,1
trigo,1
maíz,1
carn,1
lana,1
impulsaron,1
atípico,1
ingreso,1
salario,1
indiferencia,1
logro,1
señalar,1
esquema,1
bollo,1
ocurr,1
cierto,1
cuerda,1
cierran,1
achican,1
problema,1
financiero,1
cesant,1
encontrar,1
emigrar,1
gastamo,1
irresponsablement,1
agujero,1
cubrir,1
endeudando,1
peligrosament,1
película,1
pobr,1
dejamo,1
abandonado,1
condenado,1
tarjeta,1
mide,1
droga,1
rapiña,1
epidemia,1
según,1
organización,1
cuarto,1
herencia,1
disimularon,1
parecía,1
andaba,1
ve,1
plana,1
computadora,1
celular,1
auto,1
voto,1
crispada,1
agresiva,1
violenta,1
fracturada,1
terminado,1
agotado,1
ilusión,1
encarar,1
desafío,1
plantea,1
porvenir,1
nacimo,1
devolverl,1
argentinabrasil,1
relativament,1
comparamo,1
perú,1
colombia,1
bolivia,1
paraguay,1
empezó,1
repartir,1
distribuir,1
pagando,1
consecuencia,1
siendo,1
bomba,1
toqu,1
incluyendo,1
ganar,1
elección,1
vivió,1
historia,1
independient,1
error,1
sufrimo,1
contagio,1
severo,1
aftosa,1
bancaria,1
heredamo,1
jorg,1
reconocida,1
internacionalment,1
dejó,1
posicionado,1
obtuvo,1
pregunto,1
ministro,1
astori,1
capitán,1
moderación,1
inoculó,1
delirio,1
kirchnerista,1
chavista,1
dónde,1
manejó,1
hubiéramo,1
caso,1
vázquez,1
pedía,1
momento,1
hiciéramo,1
entrábamo,1
cesación,1
pago,1
conduciendo,1
continent,1
liderado,1
chavismo,1
castrismo,1
delirant,1
unasur,1
telesur,1
oleoducto,1
caraca,1
etcétera,1
cárcel,1
quedar,1
atrapado,1
aprovechar,1
oportunidad,1
brinda,1
hicieron,1
salieron,1
conquistar,1
fruta,1
verdura,1
coctel,1
venta,1
desplegada,1
largo,1
ancho,1
oficina,1
colocar,1
proximidad,1
fin,1
defiend,1
pesar,1
diferent,1
original,1
pintoresca,1
distinta,1
organizar,1
democrática,1
piensa,1
prohibido,1
calificar,1
colocado,1
situación,1
dado,1
vergüenza,1
internacion,1
cómplice,1
militar,1
alejándono,1
flagrantement,1
tradicion,1
uruguaya,1
querida,1
población,1
mirá,1
fracaso,1
ir,1
modificarlo,1
íbamo,1
vien,1
venderl,1
inest,1
decí,1
empezaron,1
proceso,1
apertura,1
firmaron,1
tratado,1
siguiendo,1
trillo,1
gradual,1
salvaguardia,1
chico,1
puedo,1
ningún,1
lent,1
ideológico,1
tipo,1
adelant,1
guatemalteco,1
separado,1
mencionar,1
tendríamo,1
inconvenient,1
condenarlo,1
severidad,1
interé,1
cordial,1
correcta,1
analizarlo,1
travé,1
organismo,1
pertinent,1
unida,1
oea,1
reconocemo,1
promoción,1
paradigma,1
conflicto,1
confrontación,1
lucha,1
explotado,1
lógica,1
quita,1
funcionan,1
entonc,1
trabajan,1
figura,1
fundament,1
complementan,1
miremo,1
experimento,1
procuró,1
remov,1
dore,1
empezar,1
funcionar,1
confianza,1
prosperidad,1
compartida,1
posibl,1
entendemo,1
concepto,1
productividad,1
exprimir,1
ganamo,1
cesar,1
actividad,1
ocupar,1
pertenec,1
encima,1
impedirm,1
ocupacion,1
embargo,1
crean,1
pierden,1
evitarlo,1
creador,1
única,1
crea,1
fabricant,1
cuidarlo,1
incentivarlo,1
invertir,1
termina,1
digo,1
próxima,1
vea,1
dale,1
abrazo,1
decirl,1
gracia,1
exist,1
consagrado,1
dar,1
marcha,1
atrá,1
ilegítima,1
convenio,1
internacional,1
libertad,1
acaso,1
adhieren,1
carnero,1
protegemo,1
cooperativo,1
aceptado,1
propietario,1
industrial,1
exclusivament,1
fundida,1
vuelta,1
buscar,1
batllista,1
enseñar,1
protegen,1
vanguardia,1
avanc,1
ulteriorment,1
preservar,1
dispar,1
perdió,1
tambo,1
familiar,1
cerrar,1
capit,1
productivo,1
perdido,1
terminamo,1
mandando,1
montevideo,1
recog,1
contenedor,1
cierta,1
allá,1
rebalancear,1
amigo,1
contraposición,1
necesitan,1
mutuament,1
administra,1
cantidad,1
calidad,1
impuesto,1
finlandes,1
latinoamericano,1
uso,1
escandaloso,1
déjeme,1
algún,1
miren,1
creció,1
vínculo,1
labor,1
esfuerzo,1
hizo,1
tratar,1
reacondicionar,1
aumentado,1
seguridad,1
choclo,1
financiar,1
ancha,1
cómodament,1
desulfurizadora,1
combust,1
producir,1
presupuestó,1
costando,1
hicist,1
cuest,1
usar,1
maquinaria,1
agrícola,1
moderna,1
fund,1
motor,1
hicimo,1
fiesta,1
inaugurar,1
mil,1
saben,1
llama,1
incompetencia,1
amiguismo,1
pagamo,1
pagan,1
ponemo,1
mochila,1
ademá,1
cultura,1
evaluar,1
resultado,1
costo,1
migré,1
multiplicamo,1
presupuesto,1
penúltimo,1
graduación,1
seguimo,1
penultima,1
demá,1
avanzaron,1
avanzamo,1
inacept,1
sensación,1
impunidad,1
dueño,1
seguir,1
podé,1
tirar,1
cien,1
real,1
sient,1
contá,1
madr,1
lámina,1
bella,1
unión,1
vivienda,1
maroña,1
dice,1
hija,1
leer,1
preciso,1
inform,1
instituto,1
evaluación,1
educativa,1
desastr,1
molino,1
jactan,1
opusieron,1
sanguinetti,1
energía,1
eléctrica,1
salido,1
logrado,1
blanco,1
intendencia,1
exceso,1
cargo,1
nuevo,1
pública,1
bajan,1
innovación,1
tecnológica,1
evolucionan,1
respecto,1
compiten,1
votamo,1
oposición,1
déjame,1
tomart,1
planteamo,1
queríamo,1
discutir,1
cometido,1
tamaño,1
financiamiento,1
creemo,1
cicatrizar,1
definitiva,1
herida,1
abrió,1
golp,1
heredar,1
carta,1
orgánica,1
voten,1
propia,1
desaparecido,1
mientra,1
sola,1
necesit,1
duelo,1
varia,1
iniciativa,1
necesariament,1
coalición,1
dije,1
cóctel,1
hacia,1
estilo,1
manten,1
preferencia,1
negociar,1
entrada,1
pedirl,1
pedir,1
permiso,1
conducta,1
irrespons,1
ley,1
votada,1
bachelet,1
gorda,1
pone,1
límite,1
ejecutivo,1
flaca,1
ajust,1
atraso,1
cambiario,1
previsibilidad,1
reducir,1
convicción,1
ant,1
revirtiendo,1
desaguisado,1
cometió,1
repon,1
vacant,1
comprometiendo,1
estabilidad,1
tard,1
temprano,1
explotar,1
ponerl,1
cascabel,1
gato,1
reguladora,1
fijar,1
competencia,1
puedan,1
designar,1
alta,1
gerencia,1
competent,1
capac,1
experient,1
manejo,1
organizacion,1
compleja,1
tomada,1
concurso,1
mérito,1
evaluada,1
rinden,1
dio,1
curen,1
hora,1
integrado,1
indiqu,1
carolina,1
cose,1
proponemo,1
podremo,1
electricidad,1
sobrar,1
soltarl,1
rienda,1
campo,1
lechería,1
cadena,1
productiva,1
incentivo,1
parecido,1
recib,1
forestación,1
derogar,1
decreto,1
interpreta,1
extensión,1
natur,1
policía,1
entrenada,1
terciaria,1
remunerada,1
dignidad,1
efectividad,1
carcelaria,1
reeducar,1
reintegrar,1
aquello,1
escuela,1
crimen,1
salen,1
clientelismo,1
cambiar,1
hablaba,1
instalar,1
atend,1
nace,1
costar,1
paga,1
deriva,1
universidad,1
utu,1
digno,1
inversión,1
económica,1
rentabilidad,1
imaginar,1
dijist,1
intervención,1
anterior,1
hablast,1
intentar,1
hacerlo,1
experiencia,1
erario,1
híper,1
completo,1
contención,1
comunidad,1
permit,1
quiero,1
compartir,1
foco,1
infancia,1
chiquilín,1
juega,1
quier,1
erróneament,1
creen,1
recuper,1
etapa,1
tardía,1
cuesta,1
muchísimo,1
recuperarlo,1
importancia,1
fortalec,1
centro,1
caif,1
programa,1
reconozco,1
crece,1
misma,1
agradecimiento,1
cree,1
pensá,1
basta,1
distinto,1
honesto,1
defend,1
ideal,1
conviccion,1
vengo,1
academia,1
afortunada,1
educarm,1
origen,1
podido,1
llegar,1
máximo,1
académica,1
doctorado,1
ponerlo,1
conocimiento,1
rico,1
precisament,1
estábamo,1
compañía,1
alemania,1
bélgica,1
francia,1
ganaba,1
llegó,1
guerra,1
verdad,1
soñó,1
europa,1
ordóñez,1
vivía,1
maelo,1
construyó,1
amabl,1
justo,1
convivía,1
armonía,1
pueblo,1
educado,1
cívico,1
raíc,1
profunda,1
evocaba,1
consigna,1
suiza,1
tacita,1
plata,1
gana,1
frontera,1
queda,1
lejo,1
sueñan,1
irs,1
afincado,1
tierra,1
vio,1
nacer,1
llegamo,1
dejarl,1
siglo,1
venimo,1
espíritu,1
transformador,1
optimista,1
batllismo,1
espacio,1
sistema,1
vuelva,1
vigor,1
frescura,1
vitalidad,1
herramienta,1
transformación,1
medida,1
alejado,1
octubr,1
pido,1
entren,1
cancha,1
den,1
puntapié,1
inici,1
iniciar,1
histórico,1
vayan,1
votar,1
gobernar,1
representar,1
empujar,1
newlin,1
at,1
end,1
of,1
file,1
