WORD,COUNT
abandonado,1
abrazo,1
abrió,1
absolutament,3
abundancia,3
acaba,2
academia,1
académica,1
acaso,1
acceso,3
aceptado,1
achican,1
acomodo,2
actividad,1
acuerdo,2
acá,3
adelant,1
ademá,1
adhieren,1
administra,1
administrar,5
afincado,1
afortunada,1
aftosa,1
agotado,1
agradecimiento,1
agresiva,1
agropecuario,1
agrícola,1
agujero,1
ahora,5
ahorrar,3
ajust,1
alejado,1
alejándono,1
alemania,1
alguno,2
algún,1
allá,1
allí,5
alta,1
amabl,1
amigo,1
amiguismo,1
amistad,2
amplio,18
américa,4
analizarlo,1
ancha,1
ancho,1
andaba,1
andar,2
ant,1
anterior,1
apena,2
apertura,1
aprovechar,1
aquello,1
aquí,4
argentina,4
argentinabrasil,1
armada,2
armonía,1
arroz,2
astori,1
asunto,2
así,3
at,1
atend,1
atrapado,1
atraso,1
atrá,1
atípico,1
aumentado,1
auto,1
avanc,1
avanzamo,1
avanzaron,1
azufr,2
año,26
aún,4
bachelet,1
bajan,1
bajar,3
bajo,2
bajó,2
bancaria,1
barrio,2
basada,2
basta,1
batir,2
batll,6
batllismo,1
batllista,1
bella,1
bien,6
blanco,1
bolivia,1
bollo,1
bomba,1
bonanza,3
brasil,2
brinda,1
buena,2
bueno,3
buscar,1
bárbaro,2
bélgica,1
cabo,2
cada,7
cadena,1
caif,1
calidad,1
calificar,1
cambiar,1
cambiario,1
cambio,4
campo,1
cancha,1
cantidad,1
capac,1
capacidad,2
capit,1
capitán,1
cara,2
caraca,1
carcelaria,1
cargo,1
carn,1
carnero,1
caro,2
carolina,1
carta,1
cascabel,1
casi,2
caso,1
castrismo,1
celular,1
centro,1
cerrar,1
cesación,1
cesant,1
cesar,1
changa,2
chavismo,1
chavista,1
chico,1
chile,2
chilena,3
chileno,5
chiquilin,4
chiquilín,1
choclo,1
cicatrizar,1
cien,1
ciento,6
cierran,1
cierta,1
cierto,1
cinco,9
cinturon,3
ciudad,2
claro,2
clase,2
clientelismo,1
coalición,1
cobra,2
coctel,1
colocado,1
colocar,1
colombia,1
colorado,2
combust,1
comerci,5
comercial,3
comercio,2
cometido,1
cometió,1
comparamo,1
compartida,1
compartir,1
compañía,1
competencia,1
competent,1
competir,3
compiten,1
compleja,1
complementan,1
completo,1
comprometiendo,1
comprometimo,1
computadora,1
comunidad,1
concepto,1
concurso,1
condenado,1
condenamo,2
condenarlo,1
conduciendo,1
conducta,1
