TYPE,COMPOUND,POSITIVE,NEGATIVE,NEUTRAL,SENTENCE
0,0.000000,0.000000,0.000000,1.000000,"﻿Muchas gracias."
0,0.000000,0.000000,0.000000,1.000000,"Efectivamente, el escenario mundial es desafiante y en Uruguay tenemos dificultades y grandes oportunidades."
-3,-0.700300,0.000000,0.112000,0.888000,"Tenemos una mejor matriz productiva, pero además tenemos que construir la matriz productiva del siglo XXI, porque pensar que podemos mejorar la actividad, o mantenerla inclusive, sin tener en cuenta los drásticos cambios en la forma de predecir la forma de producir del mundo, no sería el buen camino."
0,0.000000,0.000000,0.000000,1.000000,"Y esto sólo lo puede realizar el Frente Amplio, porque ya resolvió cosas mucho más difíciles."
-3,-0.557400,0.000000,0.217000,0.783000,"Encontró un Uruguay totalmente sumergido y endeudado, y hoy el país es otro, sin lugar a dudas."
0,0.000000,0.000000,0.000000,1.000000,"Y además lo preparó para los cambios que tenemos que llevar adelante."
-3,-0.680800,0.000000,0.231000,0.769000,"No lo podríamos hacer si las familias no tuvieran atención de salud y cuidados, si no tuviéramos la mayor cobertura en seguridad social para trabajadores y jubilados."
0,0.000000,0.000000,0.000000,1.000000,"Y lo podemos hacer porque cambiamos la matriz energética, porque cambiamos completamente las telecomunicaciones y porque tenemos algunos grandes aciertos en la educación, empezando por haber llevado la universidad al interior."
-2,-0.296000,0.000000,0.099000,0.901000,"Más trabajo, sí, pero no a costa de salarios y de recortar derechos, y sí en clave de estudio, de reconversión laboral y de innovación."
1,0.177900,0.298000,0.000000,0.702000,"¿Cómo vamos a resolver estas dificultades?"
0,0.000000,0.000000,0.000000,1.000000,"Generar trabajo pronto para mantener el tejido social, con una fuerte promoción de la inversión privada, para hacer obra pública de infraestructura, con una inversión privada estimulada, cuidando el déficit fiscal."
-2,-0.296000,0.000000,0.043000,0.957000,"Además, hay un montón de gente entre 30 y 50 años que no está preparada con las herramientas para el mundo de trabajo, que va a seguir cambiando, y por eso desplegaremos una fuerte campaña de reconversión laboral a la que agregaremos a INEFOP un fuerte liderazgo de una UTU que es una nueva UTU."
0,0.000000,0.000000,0.000000,1.000000,"Por otro lado, los rubros del futuro ya están desarrollados en el Uruguay, están concentrados en Montevideo."
0,0.000000,0.000000,0.000000,1.000000,"Los podemos multiplicar hacia el interior porque generamos las capacidades en el interior con los aciertos de la educación y porque le damos el plan de fibra óptica."
0,0.000000,0.000000,0.000000,1.000000,"Las bases para seguir transformando el Uruguay las construyeron nuestros gobiernos del Frente Amplio."
1,0.177900,0.055000,0.000000,0.945000,"Por eso, además de resolver el presente, hay que entender cómo viene la cosa, como cuando supimos ver que todo lo que pudiera pasar por internet iba a pasar por internet."
0,0.000000,0.000000,0.000000,1.000000,"¿Qué tenemos que hacer ahora para adelantarnos?"
0,0.000000,0.000000,0.000000,1.000000,"Un fuerte énfasis en el desarrollo científico y darle una oportunidad a nuestras niñas y niños del Ceibal, a nuestros jóvenes de la UTU y de la UTEC."
-3,-0.557400,0.000000,0.175000,0.825000,"Resolvamos nuestras dificultades del presente, pero en clave de futuro, en clave frenteamplista, sin que nadie quede atrás."
2,0.340000,0.085000,0.000000,0.915000,"Bueno, lo primero que tengo que decir es qué paradoja, estamos debatiendo en el medio de un paro general en el cual se ha sumergido al país."
0,0.000000,0.000000,0.000000,1.000000,"Habría que saber qué piensa la ingeniera Cosse con respecto a este paro general."
0,0.000000,0.000000,0.000000,1.000000,"Y eso creo que nos marca con toda claridad que la única manera de salir es sobre la base de la educación."
0,0.000000,0.000000,0.000000,1.000000,"Si tenemos que 4 de cada 10 terminan el liceo, 6 de cada 10 quedan a la vera del camino y esto es realmente muy preocupante."
3,0.585900,0.194000,0.000000,0.806000,"El Frente Amplio ha desvalorizado la cultura del trabajo, ha hecho una caricatura muchas veces de lo que significa los títulos universitarios."
2,0.340000,0.118000,0.000000,0.882000,"El cartoncito... y en muchas ocasiones ha intentado llevar adelante una especie de estilo "Pato Celeste" made in Frente Amplio."
-2,-0.296000,0.000000,0.155000,0.845000,"Nosotros creemos que la ocupación no es una extensión del derecho de huelga."
0,0.000000,0.000000,0.000000,1.000000,"Nosotros creemos que la propiedad hay que respetarla."
0,0.000000,0.000000,0.000000,1.000000,"Y creemos que hay que impulsar un pacto nacional sobre el trabajo, para llevar adelante la productividad y poder exonerar de tributos a la productividad mediante la negociación colectiva."
0,0.000000,0.000000,0.000000,1.000000,"Aportes al Banco de Previsión Social, en lo que significa la industria de la construcción, bajarlos y de esa forma incentivar el desarrollo y el trabajo."
0,0.000000,0.000000,0.000000,1.000000,"Esa es la apuesta."
0,0.000000,0.000000,0.000000,1.000000,"Educación y trabajo van de la mano, están íntimamente interconectados."
1,0.051600,0.074000,0.067000,0.859000,"Y el país necesita una apuesta a la educación, el país necesita subsidiar el trabajo porque si no subsidiamos el trabajo terminamos subsidiando la pobreza y esto es lamentablemente, lo que ha pasado."
2,0.340000,0.048000,0.000000,0.952000,"La desvalorización del trabajo por parte del Frente Amplio ha sido responsable de la situación que hoy tenemos: un país parado, con enormes dificultades, con enormes problemas, con creciente desocupación y con tremendas dificultades e incertidumbres en función de las dificultades que presenta la falta de una educación pública de calidad."
0,0.000000,0.000000,0.000000,1.000000,"Muy bien."
0,0.000000,0.000000,0.000000,1.000000,"Sí."
-2,-0.296000,0.000000,0.121000,0.879000,"Como dije hace un ratito, más trabajo, sí, pero no a costa de salarios ni a costa de derechos."
0,0.000000,0.000000,0.000000,1.000000,"A mí me enseñaron que hay que aprender a valorar lo que se tiene."
0,0.000000,0.000000,0.000000,1.000000,"Los Consejos de salarios funcionan desde 1943, se interrumpieron dos veces durante la dictadura y en el 92 durante el gobierno del Partido Nacional."
-3,-0.557400,0.000000,0.146000,0.854000,"Y aquí ven lo que pasó: este es el período sin consejos de salarios donde tenemos aumenta el PBI y los salarios reales bajan."
0,0.000000,0.000000,0.000000,1.000000,"Este es el período frenteamplista: aumenta el PBI y aumentan los salarios."
0,0.000000,0.000000,0.000000,1.000000,"Quiere decir que, está, acá, hay dos modelos de país."
0,0.000000,0.000000,0.000000,1.000000,"Cuando aumentan los salarios aumentan las jubilaciones, porque están vinculados."
0,0.000000,0.000000,0.000000,1.000000,"Yo creo que el asunto para el Frente Amplio es siempre convertir los problemas en desafíos y los desafíos en oportunidades para todos."
0,0.000000,0.000000,0.000000,1.000000,"El debate es para el futuro."
-2,-0.296000,0.000000,0.306000,0.694000,"No puede ser para el pasado."
0,0.000000,0.000000,0.000000,1.000000,"Nosotros ya hemos dicho de que vamos a continuar con la línea de la negociación colectiva."
-3,-0.680800,0.000000,0.125000,0.875000,"Lo que no puede ser es que el Ministerio de Trabajo sea una suerte de sucursal del PIT-CNT y aquí hay un relato que verdaderamente preocupa y ese relato es que no es posible que tengamos el 50 por ciento de los niños en escuelas públicas que no tengan comprensión lectora."
0,0.000000,0.000000,0.000000,1.000000,"En tercer año, y eso es realmente un fracaso estrepitoso de la educación pública."
0,0.000000,0.000000,0.000000,1.000000,"Entonces tenemos que apostar fuertemente a la inversión, al desarrollo, para que sobre la base de la educación, poder construir respuestas que la sociedad está esperando."
-2,-0.296000,0.000000,0.066000,0.934000,"Bien, si estamos hablando de trabajo y de sus desafíos lo que me queda claro es que lo que no hace falta es volver a recetas neoliberales que llevaron a la ruina a la industria nacional."
-2,-0.296000,0.000000,0.196000,0.804000,"Lo que no hace falta son promesas demagógicas de empleo."
-3,-0.585900,0.000000,0.220000,0.780000,"Lo que no hace falta es anunciar un shock de austeridad que nadie sabe muy bien cómo va a ser."
2,0.340000,0.079000,0.000000,0.921000,"La cifra de desempleo e inflación de nuestros vecinos son alarmantes y nuestro gobierno ha mantenido a nuestro país con un rumbo seguro y con un rumbo cierto y con un rumbo de crecimiento."
2,0.340000,0.167000,0.000000,0.833000,"Nadie ha hecho más por los trabajadores que nuestros gobiernos del Frente Amplio."
0,0.000000,0.000000,0.000000,1.000000,"Y Uruguay necesita que a todos los trabajadores les vaya bien para que el país esté a la altura de las oportunidades del futuro."
0,0.000000,0.000000,0.000000,1.000000,"El trabajo en el mundo se está transformando y son nuestras jóvenes generaciones la vanguardia que nos van a llevar a todos ahí."
0,0.000000,0.000000,0.000000,1.000000,"Más Frente Amplio es que nadie quede atrás."
-3,-0.585900,0.000000,0.146000,0.854000,"El País lo que precisa es un shock de honestidad y que no vuelva a suceder más lo que pasó: que un vicepresidente de la República haya tenido que renunciar y terminará procesado."
0,0.000000,0.000000,0.000000,1.000000,"Lo que hay que hacer es cumplir las cosas que se prometen."
-2,-0.296000,0.000000,0.145000,0.855000,"Por ejemplo, no llegaron al 1 por ciento del producto, lo que significa, Ciencia y Tecnología."
0,0.000000,0.000000,0.000000,1.000000,"Se hizo un concurso en Abril para investigadores docentes con un sueldo de 21 mil pesos, mientras que Gas Sayago tiene salarios de 300.000 en sus gerentes."
-2,-0.296000,0.000000,0.268000,0.732000,"Esto me parece que no puede ser."
0,0.000000,0.000000,0.000000,1.000000,"Es absolutamente inaceptable."
0,0.000000,0.000000,0.000000,1.000000,"Y, por ejemplo, para finalizar, es inconcebible lo que pasó con Friopan."
0,0.000000,0.000000,0.000000,1.000000,"Esa es la demostración clara de cómo el Frente Amplio atenta contra el trabajo y la propiedad."
0,0.000000,0.000000,0.000000,1.000000,"Otra paradoja."
1,0.177900,0.091000,0.000000,0.909000,"En este día de debate tenemos el escape de cuatro delincuentes de la Jefatura de Policía de Montevideo."
-2,-0.296000,0.000000,0.084000,0.916000,"Esto revela que en Uruguay hoy, en materia de seguridad, es un gobierno fallido porque no cuida el principio fundamental que es cuidar a los uruguayos."
0,0.000000,0.000000,0.000000,1.000000,"Los derechos humanos son violados todos los días."
0,0.000000,0.000000,0.000000,1.000000,"Tenemos situaciones increíbles que están pasando."
0,0.000000,0.000000,0.000000,1.000000,"Basta relatar que tenemos un homicidio cada 20 horas, una rapiña cada 18 minutos."
0,0.000000,0.000000,0.000000,1.000000,"Barrios copados."
0,0.000000,0.000000,0.000000,1.000000,"Y nosotros hemos querido llevar adelante una reforma de la Constitución para llevar adelante instrumentos que mejoren la seguridad pública."
-2,-0.296000,0.000000,0.115000,0.885000,"La señora ingeniera, el otro precandidato del Frente Amplio, han dicho que no quieren militares en la calle."
-3,-0.526700,0.000000,0.077000,0.923000,"Bueno, nosotros decimos que lo que no queremos son delincuentes en las calles y lo que se debe decir claramente es si se va a cumplir o no, si se reforma la Constitución, porque hay una suerte de prejuicio ideológico de siempre tener miedo a los militares, cuando en definitiva lo que hay que tener miedo es a los delincuentes."
-2,-0.296000,0.000000,0.095000,0.905000,"No es posible llevar adelante una suerte de iniciativa en donde se habla de un gabinete de seguridad, una especie de comisión."
0,0.000000,0.000000,0.000000,1.000000,"¿Esa es la propuesta o una de las propuestas del Frente Amplio?"
0,0.000000,0.000000,0.000000,1.000000,"Una comisión después de 14 años de gobierno, después de 14 años gobernando, propone una comisión."
-3,-0.680800,0.000000,0.056000,0.944000,"Creo que es un enorme error... Nosotros queremos una reforma porque entendemos que es inaceptable que no se cumplan las penas, que no se pueda aplicar una pena de reclusión permanente revisable, que no se pueda llevar adelante todo lo que significa el tema de los allanamientos nocturnos o una Guardia Nacional para poder llevar adelante instrumentos que habiliten al Poder Ejecutivo, conjuntamente con otras políticas de rehabilitación -políticas sociales, políticas educativas- para librar una importante tarea de el azote que hoy tenemos en la sociedad, donde tenemos situaciones complejas en droga, con el cáncer social de la pasta base y en donde lamentablemente el Frente Amplio -vuelvo a repetir- es un gobierno fallido en materia de seguridad."
0,0.000000,0.000000,0.000000,1.000000,"Primero que invito a los ciudadanos a leer el comunicado del gobierno sobre las medidas que está tomando de investigación y yo espero que todo el peso de la ley caiga sobre los responsables."
0,0.000000,0.000000,0.000000,1.000000,"También creo que hay que ver."
0,0.000000,0.000000,0.000000,1.000000,"Ahí podemos ver la foto o podemos ver la película."
-2,-0.296000,0.000000,0.053000,0.947000,"Yo creo que hay que ver la película porque también me quiero, quiero recordar que cuando este narco fue aprisionado, fue tomado por la Policía, no salió todo el mundo a festejar que habían presionado a un narco de esa magnitud, ¿verdad?"
0,0.000000,0.000000,0.000000,1.000000,"Así que tampoco, y en ese momento nadie dijo que era la mejor policía, ahora tampoco digamos que es la peor policía."
0,0.000000,0.000000,0.000000,1.000000,"La película, si la queremos ver, es que por año, desde el 2010 se han separado a 300 policías de sus cargos para investigar irregularidades."
0,0.000000,0.000000,0.000000,1.000000,"Eso antes era una incógnita."
0,0.000000,0.000000,0.000000,1.000000,"Pero igual yo creo que una segunda generación de cambios implica convivir en paz, y yo me siento comprometida, y realmente comparto la preocupación de todos los que firmaron para reformar la Constitución."
0,0.000000,0.000000,0.000000,1.000000,"El mundo cambió vertiginosamente y la delincuencia también, y esto es un fenómeno que afecta a todo el continente."
0,0.000000,0.000000,0.000000,1.000000,"Por lo tanto, yo creo que hay que hacer dos cosas: controlar la situación actual ejerciendo autoridad con responsabilidad en el marco de la Constitución y la ley, utilizando todas las herramientas tecnológicas para masificar los despliegues de estos operativos que requieren la coordinación de 23 organismos públicos."
0,0.000000,0.000000,0.000000,1.000000,"Y al mismo tiempo, prepararnos para transformarnos como sociedad, juntando acciones policiales sumadas a políticas de vivienda, de empleo, acompañamiento social y demás."
0,0.000000,0.000000,0.000000,1.000000,"Fortalecer la coordinación entre los poderes."
0,0.000000,0.000000,0.000000,1.000000,"Y acá también hay dos modelos de país."
0,0.000000,0.000000,0.000000,1.000000,"Este es uno, y el otro es una serie de propuestas sueltas, entre los cuales está esta reforma cuyo principal problema es que le da rango constitucional a una serie de propuestas: una es crear una Guardia Nacional integrada por los militares."
0,0.000000,0.000000,0.000000,1.000000,"La principal función de los militares es la defensa nacional y proteger la integridad territorial."
0,0.000000,0.000000,0.000000,1.000000,"Y para eso definen zonas militares."
0,0.000000,0.000000,0.000000,1.000000,"Miren qué problema."
0,0.000000,0.000000,0.000000,1.000000,"Yo me pregunto cuál va a ser la zona militar que van a definir."
0,0.000000,0.000000,0.000000,1.000000,"¿Un barrio?"
0,0.000000,0.000000,0.000000,1.000000,"¿Un departamento entero?"
0,0.000000,0.000000,0.000000,1.000000,"¿todo Montevideo?"
0,0.000000,0.000000,0.000000,1.000000,"Ni los militares piensan que es posible... Tenemos que revisar permanentemente los operativos que ya tenemos, el PADO, ajustar los tiempos de revisión, ajustar, bajar a tres días los tiempos de revisión para los despliegue de los puntos en las zonas de patrullaje, utilizar más la inteligencia."
0,0.000000,0.000000,0.000000,1.000000,"Yo siempre respetaré lo que el pueblo decida."
0,0.000000,0.000000,0.000000,1.000000,"Siempre respetaré lo que el pueblo decida."
-2,-0.296000,0.000000,0.268000,0.732000,"Pero la militarización no es el camino."
0,0.000000,0.000000,0.000000,1.000000,"La inseguridad al final del día, se logra promoviendo la convivencia."
-2,-0.296000,0.000000,0.239000,0.761000,"Por qué esta reforma no es la forma."
-2,-0.296000,0.000000,0.115000,0.885000,"La forma, como utilizando las palabras del economista Bergara, es no ser tan frutillita en materia de seguridad."
2,0.340000,0.103000,0.000000,0.897000,"La reforma constitucional que nosotros prevemos establece una segunda Guardia, que de otra forma también ya se ha aplicado en el país."
-3,-0.526700,0.000000,0.132000,0.868000,"Por ejemplo, la Guardia de Frontera, en donde incluso el propio Presidente de la República, después de haberse aprobado durante ocho meses, todavía no la puso en funcionamiento, no lo reglamentó."
0,0.000000,0.000000,0.000000,1.000000,"Creemos que lamentablemente uno tiene que llevar adelante el ejercicio de la presidencia con una mano clara, con una mano firme para poder conducir los destinos del país y hoy el Uruguay está realmente muy mal y tenemos que comprender."
