TYPE,COMPOUND,POSITIVE,NEGATIVE,NEUTRAL,SENTENCE
2,0.340000,0.085000,0.000000,0.915000,"﻿Bueno, lo primero que tengo que decir es qué paradoja, estamos debatiendo en el medio de un paro general en el cual se ha sumergido al país."
0,0.000000,0.000000,0.000000,1.000000,"Habría que saber qué piensa la ingeniera Cosse con respecto a este paro general."
0,0.000000,0.000000,0.000000,1.000000,"Y eso creo que nos marca con toda claridad que la única manera de salir es sobre la base de la educación."
0,0.000000,0.000000,0.000000,1.000000,"Si tenemos que 4 de cada 10 terminan el liceo, 6 de cada 10 quedan a la vera del camino y esto es realmente muy preocupante."
3,0.585900,0.194000,0.000000,0.806000,"El Frente Amplio ha desvalorizado la cultura del trabajo, ha hecho una caricatura muchas veces de lo que significa los títulos universitarios."
2,0.340000,0.118000,0.000000,0.882000,"El cartoncito... y en muchas ocasiones ha intentado llevar adelante una especie de estilo "Pato Celeste" made in Frente Amplio."
-2,-0.296000,0.000000,0.155000,0.845000,"Nosotros creemos que la ocupación no es una extensión del derecho de huelga."
0,0.000000,0.000000,0.000000,1.000000,"Nosotros creemos que la propiedad hay que respetarla."
0,0.000000,0.000000,0.000000,1.000000,"Y creemos que hay que impulsar un pacto nacional sobre el trabajo, para llevar adelante la productividad y poder exonerar de tributos a la productividad mediante la negociación colectiva."
0,0.000000,0.000000,0.000000,1.000000,"Aportes al Banco de Previsión Social, en lo que significa la industria de la construcción, bajarlos y de esa forma incentivar el desarrollo y el trabajo."
0,0.000000,0.000000,0.000000,1.000000,"Esa es la apuesta."
0,0.000000,0.000000,0.000000,1.000000,"Educación y trabajo van de la mano, están íntimamente interconectados."
1,0.051600,0.074000,0.067000,0.859000,"Y el país necesita una apuesta a la educación, el país necesita subsidiar el trabajo porque si no subsidiamos el trabajo terminamos subsidiando la pobreza y esto es lamentablemente, lo que ha pasado."
2,0.340000,0.048000,0.000000,0.952000,"La desvalorización del trabajo por parte del Frente Amplio ha sido responsable de la situación que hoy tenemos: un país parado, con enormes dificultades, con enormes problemas, con creciente desocupación y con tremendas dificultades e incertidumbres en función de las dificultades que presenta la falta de una educación pública de calidad."
0,0.000000,0.000000,0.000000,1.000000,"El debate es para el futuro."
-2,-0.296000,0.000000,0.306000,0.694000,"No puede ser para el pasado."
0,0.000000,0.000000,0.000000,1.000000,"Nosotros ya hemos dicho de que vamos a continuar con la línea de la negociación colectiva."
-3,-0.680800,0.000000,0.125000,0.875000,"Lo que no puede ser es que el Ministerio de Trabajo sea una suerte de sucursal del PIT-CNT y aquí hay un relato que verdaderamente preocupa y ese relato es que no es posible que tengamos el 50 por ciento de los niños en escuelas públicas que no tengan comprensión lectora."
0,0.000000,0.000000,0.000000,1.000000,"En tercer año, y eso es realmente un fracaso estrepitoso de la educación pública."
0,0.000000,0.000000,0.000000,1.000000,"Entonces tenemos que apostar fuertemente a la inversión, al desarrollo, para que sobre la base de la educación, poder construir respuestas que la sociedad está esperando."
-3,-0.585900,0.000000,0.146000,0.854000,"El País lo que precisa es un shock de honestidad y que no vuelva a suceder más lo que pasó: que un vicepresidente de la República haya tenido que renunciar y terminará procesado."
0,0.000000,0.000000,0.000000,1.000000,"Lo que hay que hacer es cumplir las cosas que se prometen."
-2,-0.296000,0.000000,0.145000,0.855000,"Por ejemplo, no llegaron al 1 por ciento del producto, lo que significa, Ciencia y Tecnología."
0,0.000000,0.000000,0.000000,1.000000,"Se hizo un concurso en Abril para investigadores docentes con un sueldo de 21 mil pesos, mientras que Gas Sayago tiene salarios de 300.000 en sus gerentes."
-2,-0.296000,0.000000,0.268000,0.732000,"Esto me parece que no puede ser."
0,0.000000,0.000000,0.000000,1.000000,"Es absolutamente inaceptable."
0,0.000000,0.000000,0.000000,1.000000,"Y, por ejemplo, para finalizar, es inconcebible lo que pasó con Friopan."
0,0.000000,0.000000,0.000000,1.000000,"Esa es la demostración clara de cómo el Frente Amplio atenta contra el trabajo y la propiedad."
0,0.000000,0.000000,0.000000,1.000000,"Otra paradoja."
