WORD,COUNT
país,30
uruguay,22
creo,21
mundo,18
frente,14
amplio,14
podemos,13
hacer,12
seguir,11
futuro,11
ser,11
si,10
educación,10
ver,10
trabajo,9
años,9
va,9
bien,9
nacional,9
desafíos,9
además,8
cosas,8
salarios,8
plan,8
nadie,8
hablando,8
hoy,7
salud,7
atrás,7
ahí,7
mejor,6
cambios,6
trabajadores,6
interior,6
derechos,6
fuerte,6
ahora,6
jóvenes,6
hace,6
dos,6
acá,6
hecho,6
van,6
tema,6
muchas,6
llegar,6
proyecto,6
gracias,5
oportunidades,5
haber,5
utu,5
transformando,5
cómo,5
desarrollo,5
gobierno,5
aumenta,5
pbi,5
rumbo,5
así,5
propuestas,5
uruguayos,5
diálogo,5
significa,5
único,5
dificultades,4
grandes,4
matriz,4
forma,4
camino,4
puede,4
lugar,4
llevar,4
adelante,4
seguridad,4
social,4
cambiamos,4
clave,4
resolver,4
inversión,4
infraestructura,4
montevideo,4
partido,4
aquí,4
aumentan,4
modelos,4
siempre,4
falta,4
ley,4
quiero,4
queremos,4
constitución,4
militares,4
inteligencia,4
importante,4
mujeres,4
violencia,4
género,4
emergencia,4
nunca,4
miles,4
excelencia,4
hechos,4
copa,4
escuelas,4
ir,4
intercambio,4
construir,3
tener,3
totalmente,3
sumergido,3
podríamos,3
costa,3
vamos,3
privada,3
nueva,3
lado,3
hacia,3
gobiernos,3
presente,3
viene,3
cosa,3
énfasis,3
ceibal,3
frenteamplista,3
quede,3
funcionan,3
ven,3
período,3
problemas,3
volver,3
empleo,3
crecimiento,3
necesita,3
película,3
recordar,3
policía,3
tampoco,3
segunda,3
generación,3
realmente,3
cambió,3
situación,3
tiempo,3
acciones,3
vivienda,3
principal,3
problema,3
posible,3
tres,3
cárceles,3
separar,3
cárcel,3
punta,3
cero,3
cambiar,3
igualdad,3
democracia,3
sistema,3
bajó,3
mitad,3
hicimos,3
hogares,3
nuevo,3
medio,3
vacía,3
parte,3
gran,3
población,3
económico,3
ciento,3
real,3
crisis,3
digital,3
ve,3
quieren,3
movimientos,3
sociales,3
propuesta,3
modelo,3
programa,3
tocó,3
tomar,3
lejos,3
efectivamente,2
mundial,2
productiva,2
siglo,2
xxi,2
pensar,2
sólo,2
realizar,2
cobertura,2
energética,2
aciertos,2
universidad,2
reconversión,2
laboral,2
pública,2
gente,2
herramientas,2
multiplicar,2
fibra,2
pasar,2
internet,2
iba,2
niñas,2
niños,2
consejos,2
veces,2
decir,2
jubilaciones,2
queda,2
claro,2
sabe,2
vecinos,2
vaya,2
generaciones,2
investigación,2
narco,2
momento,2
peor,2
siento,2
preocupación,2
actual,2
responsabilidad,2
todas,2
operativos,2
coordinación,2
públicos,2
mismo,2
sociedad,2
serie,2
reforma,2
crear,2
zonas,2
cuál,2
barrio,2
ajustar,2
tiempos,2
revisión,2
días,2
respetaré,2
pueblo,2
decida,2
día,2
convivencia,2
profundo,2
área,2
funciona,2
rieles,2
experiencias,2
toda,2
realidad,2
cada,2
construye,2
impone,2
necesitamos,2
índice,2
mortalidad,2
infantil,2
hospitales,2
descubrimos,2
condenado,2
compatriotas,2
personas,2
avanzado,2
maravillosas,2
sube,2
universitarios,2
primeros,2
inicial,2
cuatro,2
robótica,2
enseñanza,2
media,2
uruguayas,2
verdad,2
senador,2
dejar,2
imposibles,2
palabra,2
pleno,2
pueden,2
oposición,2
justamente,2
afirmativas,2
continuar,2
frases,2
pagos,2
fin,2
partidos,2
salario,2
apertura,2
mercados,2
región,2
sabido,2
imponente,2
sectores,2
hacerlo,2
pymes,2
ejemplo,2
empresas,2
costó,2
demasiado,2
interesa,2
avanzar,2
sector,2
