WORD,COUNT
abanderada,1
abortos,1
abrir,1
acceder,1
acciones,3
aceptado,1
acerca,1
aciertos,2
acompañamiento,1
actividad,1
actividades,1
actual,2
acuerdo,1
acusó,1
acá,6
adelantarnos,1
adelante,4
además,8
afecta,1
afirmados,1
afirmar,1
afirmativas,2
afrodescendientes,1
agradecerle,1
agradecida,1
agregaremos,1
agroindustrial,2
agroindustriales,1
ahora,6
ahí,7
aire,1
ajustar,2
alarmantes,1
alto,2
altura,1
alumbrado,1
ambiente,1
ampliar,1
amplio,14
américa,1
analizar,1
anep,1
animarnos,1
anunciar,1
apertura,2
apoyar,1
aprender,1
aprisionado,1
apueste,1
aquí,4
arista,1
arrancamos,1
arrancar,1
arrastren,1
arruinado,1
artificial,1
aspecto,1
aspectos,1
asunto,1
así,5
atención,1
atender,1
atendió,1
atiende,1
atrás,7
audiovisual,1
aumenta,5
aumentado,1
aumentan,4
austeridad,1
autoridad,1
avanzado,2
avanzar,2
ayuden,1
año,1
años,9
baja,1
bajan,1
bajar,1
bajaron,1
bajó,3
bala,1
bandera,1
barrio,2
barrios,1
basada,1
bases,1
bastante,1
bien,9
blancos,1
borda,1
brilla,1
bruto,1
buen,1
buenas,1
bueno,1
buscan,1
busquemos,1
cada,2
cadena,1
caiga,1
calificadoras,1
cambiamos,4
cambiando,1
cambiar,3
cambiaria,1
cambios,6
cambió,3
camino,4
campaña,1
canal,1
cantidad,1
capacidades,1
caracterización,1
cargos,1
casa,1
casas,1
casi,1
casos,1
castro,1
ceibal,3
central,1
centro,1
centros,1
cero,3
ciegas,1
ciencia,1
ciento,3
científico,1
cierto,1
cifra,1
cinco,1
ciudad,1
ciudadanos,1
clandestinos,1
claro,2
claros,1
clase,1
clave,4
clavo,1
clientelista,1
cobertura,2
colorados,1
comerciales,1
comercio,1
comparto,1
compatriotas,2
compañeros,1
competitividad,1
completamente,1
comprometida,1
comprometido,1
comprometidos,1
compromiso,1
comunicado,1
común,1
concentradas,1
concentrados,1
concretados,1
concretos,1
condenado,2
condiciones,1
condición,1
conducir,1
conducirse,1
conectividad,1
conformes,1
conozco,1
consejos,2
constitucional,1
constitución,4
construcción,2
constructora,1
construir,3
construye,2
construyeron,1
construyó,1
continente,1
continuar,2
controlar,1
convencer,1
convencida,2
convertimos,1
convertir,1
convivencia,2
convivir,1
cooperativismo,1
coordinación,2
copa,4
corazón,1
cortada,1
cosa,3
cosas,8
costa,3
costó,2
coyunturas,1
crear,2
crecer,1
crecimiento,3
creer,1
creo,21
crisis,3
cuales,1
cualquier,1
cuatro,2
cuchillo,1
cudil,1
cuenta,1
cuidados,1
cuidando,1
cultura,1
cuya,1
cuyo,1
cuál,2
cárcel,3
cárceles,3
cómo,5
da,1
damos,1
dando,1
daniel,1
dar,1
darle,1
datos,1
debate,1
debe,1
debemos,1
decenas,1
decida,2
decir,2
decisiones,1
defensa,1
definen,1
definir,1
dejar,2
delincuencia,1
delito,1
demagogia,1
demagógicas,1
demasiado,2
democracia,3
democracias,1
demoras,1
demostración,1
demostramos,1
demás,1
dentro,1
denuncia,1
denuncias,1
departamento,1
deprimente,1
derecho,1
derechos,6
desafiante,1
desafíos,9
desaparecieron,1
desarrollados,1
desarrollarlas,1
desarrollo,5
desatender,1
descubrimos,2
desempleo,1
desocupación,1
desplegaremos,1
despliegue,1
despliegues,1
después,1
destinos,1
desvarío,1
detenido,1
dice,1
dictadura,1
dificultades,4
difíciles,1
digamos,1
digital,3
dije,1
dijo,1
discapacidad,1
dispuesta,1
distinto,1
distribución,1
diversas,1
diversos,1
diálogo,5
docentes,1
doméstica,1
dos,6
drásticos,1
dudas,1
duplicó,1
déficit,1
día,2
días,2
dónde,1
economía,1
económica,1
económico,3
edilicia,1
educación,10
educativo,1
efectivamente,2
eje,1
ejemplo,2
ejerciendo,1
electrificación,1
embarazo,1
emergencia,4
empezando,1
empezó,2
empleo,3
empresarios,2
empresas,2
encadenados,1
encarar,1
encargamos,1
encolumne,1
encontramos,1
encontrando,1
encontró,1
endeudado,1
energética,2
energía,1
enfrentar,1
enorme,1
enseñanza,2
enseñaron,1
entendemos,1
entender,1
entero,1
entienda,1
equipo,2
equipos,1
escenario,1
escombros,1
escuela,1
escuelas,4
espaciales,1
especialistas,1
especialmente,1
esperan,1
espero,1
estimulada,1
estudian,1
estudiantes,1
estudio,1
excelencia,4
excelentes,1
exclusión,1
excusas,1
exige,1
exilio,1
experiencias,2
expresar,1
extendido,1
exterior,1
fabulosa,1
falta,4
familia,1
familias,1
farmacéutico,1
favor,1
fenómeno,1
festejar,1
fibra,2
fin,2
final,1
financieras,1
firmaron,1
firme,1
fiscal,1
fondo,2
forjó,1
forma,4
formando,1
formo,1
fortalecer,1
fortaleza,1
foto,1
frases,2
frente,14
frenteamplista,3
fuerte,6
fuerza,1
funciona,2
funcionan,3
función,1
fundamental,1
futuras,1
futuro,11
garantiza,1
garantizados,1
garantía,1
generaciones,2
generación,3
generalizarlo,1
generamos,1
generan,1
generar,1
generó,1
genios,1
gente,2
gobernaban,1
gobernar,2
gobierno,5
gobiernos,3
google,1
gracias,5
gran,3
grandes,4
guardia,1
guerra,1
gustaría,1
género,4
haber,5
hablando,8
hace,6
hacen,1
hacer,12
hacerlo,2
hacia,3
hechas,1
hecho,6
hechos,4
herramientas,2
hicimos,3
hijos,1
hizo,1
hogar,1
hogares,3
honrada,1
hora,1
horas,1
hospital,2
hospitales,2
hoy,7
humanismo,1
humildes,1
iba,2
ibirapitá,1
ideas,2
idioma,1
idiotas,1
igual,1
igualando,2
igualdad,3
igualitario,1
implacables,1
implica,1
impone,2
imponente,2
importante,4
imposible,1
imposibles,2
inclusive,1
incluye,1
incorporación,1
incorporan,1
incorporar,1
incógnita,1
indocumentados,1
industria,1
inefop,1
infantil,2
inflación,1
informáticos,1
infraestructura,4
inglés,1
inicial,2
innovación,1
inseguridad,1
inseguro,1
instancia,1
instituciones,1
institutos,1
instrumentar,1
integrada,1
integrado,1
integridad,1
inteligencia,4
intercambio,4
interesa,2
interesaría,1
interior,6
internacional,2
