TYPE,COMPOUND,POSITIVE,NEGATIVE,NEUTRAL,SENTENCE
0,0.000000,0.000000,0.000000,1.000000,"﻿Muchas gracias."
0,0.000000,0.000000,0.000000,1.000000,"Efectivamente, el escenario mundial es desafiante y en Uruguay tenemos dificultades y grandes oportunidades."
-3,-0.700300,0.000000,0.112000,0.888000,"Tenemos una mejor matriz productiva, pero además tenemos que construir la matriz productiva del siglo XXI, porque pensar que podemos mejorar la actividad, o mantenerla inclusive, sin tener en cuenta los drásticos cambios en la forma de predecir la forma de producir del mundo, no sería el buen camino."
0,0.000000,0.000000,0.000000,1.000000,"Y esto sólo lo puede realizar el Frente Amplio, porque ya resolvió cosas mucho más difíciles."
-3,-0.557400,0.000000,0.217000,0.783000,"Encontró un Uruguay totalmente sumergido y endeudado, y hoy el país es otro, sin lugar a dudas."
0,0.000000,0.000000,0.000000,1.000000,"Y además lo preparó para los cambios que tenemos que llevar adelante."
-3,-0.680800,0.000000,0.231000,0.769000,"No lo podríamos hacer si las familias no tuvieran atención de salud y cuidados, si no tuviéramos la mayor cobertura en seguridad social para trabajadores y jubilados."
0,0.000000,0.000000,0.000000,1.000000,"Y lo podemos hacer porque cambiamos la matriz energética, porque cambiamos completamente las telecomunicaciones y porque tenemos algunos grandes aciertos en la educación, empezando por haber llevado la universidad al interior."
-2,-0.296000,0.000000,0.099000,0.901000,"Más trabajo, sí, pero no a costa de salarios y de recortar derechos, y sí en clave de estudio, de reconversión laboral y de innovación."
1,0.177900,0.298000,0.000000,0.702000,"¿Cómo vamos a resolver estas dificultades?"
0,0.000000,0.000000,0.000000,1.000000,"Generar trabajo pronto para mantener el tejido social, con una fuerte promoción de la inversión privada, para hacer obra pública de infraestructura, con una inversión privada estimulada, cuidando el déficit fiscal."
-2,-0.296000,0.000000,0.043000,0.957000,"Además, hay un montón de gente entre 30 y 50 años que no está preparada con las herramientas para el mundo de trabajo, que va a seguir cambiando, y por eso desplegaremos una fuerte campaña de reconversión laboral a la que agregaremos a INEFOP un fuerte liderazgo de una UTU que es una nueva UTU."
0,0.000000,0.000000,0.000000,1.000000,"Por otro lado, los rubros del futuro ya están desarrollados en el Uruguay, están concentrados en Montevideo."
0,0.000000,0.000000,0.000000,1.000000,"Los podemos multiplicar hacia el interior porque generamos las capacidades en el interior con los aciertos de la educación y porque le damos el plan de fibra óptica."
0,0.000000,0.000000,0.000000,1.000000,"Las bases para seguir transformando el Uruguay las construyeron nuestros gobiernos del Frente Amplio."
1,0.177900,0.055000,0.000000,0.945000,"Por eso, además de resolver el presente, hay que entender cómo viene la cosa, como cuando supimos ver que todo lo que pudiera pasar por internet iba a pasar por internet."
0,0.000000,0.000000,0.000000,1.000000,"¿Qué tenemos que hacer ahora para adelantarnos?"
0,0.000000,0.000000,0.000000,1.000000,"Un fuerte énfasis en el desarrollo científico y darle una oportunidad a nuestras niñas y niños del Ceibal, a nuestros jóvenes de la UTU y de la UTEC."
-3,-0.557400,0.000000,0.175000,0.825000,"Resolvamos nuestras dificultades del presente, pero en clave de futuro, en clave frenteamplista, sin que nadie quede atrás."
0,0.000000,0.000000,0.000000,1.000000,"Muy bien."
0,0.000000,0.000000,0.000000,1.000000,"Sí."
-2,-0.296000,0.000000,0.121000,0.879000,"Como dije hace un ratito, más trabajo, sí, pero no a costa de salarios ni a costa de derechos."
0,0.000000,0.000000,0.000000,1.000000,"A mí me enseñaron que hay que aprender a valorar lo que se tiene."
0,0.000000,0.000000,0.000000,1.000000,"Los Consejos de salarios funcionan desde 1943, se interrumpieron dos veces durante la dictadura y en el 92 durante el gobierno del Partido Nacional."
-3,-0.557400,0.000000,0.146000,0.854000,"Y aquí ven lo que pasó: este es el período sin consejos de salarios donde tenemos aumenta el PBI y los salarios reales bajan."
0,0.000000,0.000000,0.000000,1.000000,"Este es el período frenteamplista: aumenta el PBI y aumentan los salarios."
0,0.000000,0.000000,0.000000,1.000000,"Quiere decir que, está, acá, hay dos modelos de país."
0,0.000000,0.000000,0.000000,1.000000,"Cuando aumentan los salarios aumentan las jubilaciones, porque están vinculados."
0,0.000000,0.000000,0.000000,1.000000,"Yo creo que el asunto para el Frente Amplio es siempre convertir los problemas en desafíos y los desafíos en oportunidades para todos."
-2,-0.296000,0.000000,0.066000,0.934000,"Bien, si estamos hablando de trabajo y de sus desafíos lo que me queda claro es que lo que no hace falta es volver a recetas neoliberales que llevaron a la ruina a la industria nacional."
-2,-0.296000,0.000000,0.196000,0.804000,"Lo que no hace falta son promesas demagógicas de empleo."
-3,-0.585900,0.000000,0.220000,0.780000,"Lo que no hace falta es anunciar un shock de austeridad que nadie sabe muy bien cómo va a ser."
2,0.340000,0.079000,0.000000,0.921000,"La cifra de desempleo e inflación de nuestros vecinos son alarmantes y nuestro gobierno ha mantenido a nuestro país con un rumbo seguro y con un rumbo cierto y con un rumbo de crecimiento."
2,0.340000,0.167000,0.000000,0.833000,"Nadie ha hecho más por los trabajadores que nuestros gobiernos del Frente Amplio."
0,0.000000,0.000000,0.000000,1.000000,"Y Uruguay necesita que a todos los trabajadores les vaya bien para que el país esté a la altura de las oportunidades del futuro."
0,0.000000,0.000000,0.000000,1.000000,"El trabajo en el mundo se está transformando y son nuestras jóvenes generaciones la vanguardia que nos van a llevar a todos ahí."
0,0.000000,0.000000,0.000000,1.000000,"Más Frente Amplio es que nadie quede atrás."
0,0.000000,0.000000,0.000000,1.000000,"Primero que invito a los ciudadanos a leer el comunicado del gobierno sobre las medidas que está tomando de investigación y yo espero que todo el peso de la ley caiga sobre los responsables."
0,0.000000,0.000000,0.000000,1.000000,"También creo que hay que ver."
0,0.000000,0.000000,0.000000,1.000000,"Ahí podemos ver la foto o podemos ver la película."
-2,-0.296000,0.000000,0.053000,0.947000,"Yo creo que hay que ver la película porque también me quiero, quiero recordar que cuando este narco fue aprisionado, fue tomado por la Policía, no salió todo el mundo a festejar que habían presionado a un narco de esa magnitud, ¿verdad?"
0,0.000000,0.000000,0.000000,1.000000,"Así que tampoco, y en ese momento nadie dijo que era la mejor policía, ahora tampoco digamos que es la peor policía."
0,0.000000,0.000000,0.000000,1.000000,"La película, si la queremos ver, es que por año, desde el 2010 se han separado a 300 policías de sus cargos para investigar irregularidades."
0,0.000000,0.000000,0.000000,1.000000,"Eso antes era una incógnita."
0,0.000000,0.000000,0.000000,1.000000,"Pero igual yo creo que una segunda generación de cambios implica convivir en paz, y yo me siento comprometida, y realmente comparto la preocupación de todos los que firmaron para reformar la Constitución."
0,0.000000,0.000000,0.000000,1.000000,"El mundo cambió vertiginosamente y la delincuencia también, y esto es un fenómeno que afecta a todo el continente."
0,0.000000,0.000000,0.000000,1.000000,"Por lo tanto, yo creo que hay que hacer dos cosas: controlar la situación actual ejerciendo autoridad con responsabilidad en el marco de la Constitución y la ley, utilizando todas las herramientas tecnológicas para masificar los despliegues de estos operativos que requieren la coordinación de 23 organismos públicos."
0,0.000000,0.000000,0.000000,1.000000,"Y al mismo tiempo, prepararnos para transformarnos como sociedad, juntando acciones policiales sumadas a políticas de vivienda, de empleo, acompañamiento social y demás."
0,0.000000,0.000000,0.000000,1.000000,"Fortalecer la coordinación entre los poderes."
0,0.000000,0.000000,0.000000,1.000000,"Y acá también hay dos modelos de país."
0,0.000000,0.000000,0.000000,1.000000,"Este es uno, y el otro es una serie de propuestas sueltas, entre los cuales está esta reforma cuyo principal problema es que le da rango constitucional a una serie de propuestas: una es crear una Guardia Nacional integrada por los militares."
0,0.000000,0.000000,0.000000,1.000000,"La principal función de los militares es la defensa nacional y proteger la integridad territorial."
0,0.000000,0.000000,0.000000,1.000000,"Y para eso definen zonas militares."
0,0.000000,0.000000,0.000000,1.000000,"Miren qué problema."
0,0.000000,0.000000,0.000000,1.000000,"Yo me pregunto cuál va a ser la zona militar que van a definir."
0,0.000000,0.000000,0.000000,1.000000,"¿Un barrio?"
0,0.000000,0.000000,0.000000,1.000000,"¿Un departamento entero?"
0,0.000000,0.000000,0.000000,1.000000,"¿todo Montevideo?"
0,0.000000,0.000000,0.000000,1.000000,"Ni los militares piensan que es posible... Tenemos que revisar permanentemente los operativos que ya tenemos, el PADO, ajustar los tiempos de revisión, ajustar, bajar a tres días los tiempos de revisión para los despliegue de los puntos en las zonas de patrullaje, utilizar más la inteligencia."
0,0.000000,0.000000,0.000000,1.000000,"Yo siempre respetaré lo que el pueblo decida."
0,0.000000,0.000000,0.000000,1.000000,"Siempre respetaré lo que el pueblo decida."
-2,-0.296000,0.000000,0.268000,0.732000,"Pero la militarización no es el camino."
0,0.000000,0.000000,0.000000,1.000000,"La inseguridad al final del día, se logra promoviendo la convivencia."
-2,-0.296000,0.000000,0.239000,0.761000,"Por qué esta reforma no es la forma."
-2,-0.296000,0.000000,0.061000,0.939000,"Sí, a mí me gustaría seguir hablando profundamente del tema de seguridad, y yo creo que es de profundo humanismo expresar que si las cárceles... las cárceles no sirven si lo que hacen es reproducir un problema."
0,0.000000,0.000000,0.000000,1.000000,"Yo creo que tenemos que separar."
-2,-0.296000,0.000000,0.087000,0.913000,"Creo que el área de cárceles es un área que tenemos que analizar en profundidad y separar lo que funciona de lo que no funciona."
0,0.000000,0.000000,0.000000,1.000000,"Hay cosas que funcionan, como la cárcel de Punta de Rieles, que tiene cero bala tirada; que si tenés un tema con un cuchillo, te vas; donde hay reclusos que trabajan y estudian."
0,0.000000,0.000000,0.000000,1.000000,"Y hay otras experiencias similares que también funcionan."
0,0.000000,0.000000,0.000000,1.000000,"Diversas experiencias en el interior."
-2,-0.296000,0.000000,0.115000,0.885000,"Yo creo que hay que cambiar lo que haya que cambiar para que no sean universidades del delito."
0,0.000000,0.000000,0.000000,1.000000,"Y en los casos de máxima seguridad, con inteligencia."
-2,-0.296000,0.000000,0.524000,0.476000,"No a lo bruto."
0,0.000000,0.000000,0.000000,1.000000,"Ser implacables."
-3,-0.557400,0.000000,0.265000,0.735000,"Habrá que dar en el clavo sin machucar toda la pared."
0,0.000000,0.000000,0.000000,1.000000,"Sí, para seguir con el tema de seguridad y convivencia, yo quisiera incorporar una arista de la realidad que me parece que es muy importante para muchas mujeres: el lugar más inseguro es la casa."
0,0.000000,0.000000,0.000000,1.000000,"Estamos hablando de madres con hijos que quedan solos y tenemos en 2018 casi 40 mil denuncias, una denuncia cada 13 minutos de violencia doméstica."
0,0.000000,0.000000,0.000000,1.000000,"Nos hemos comprometido a instrumentar la Ley de Violencia de Género contra las mujeres."
0,0.000000,0.000000,0.000000,1.000000,"Creo que tenemos realmente que construir una cultura de igualdad en todos los ámbitos."
0,0.000000,0.000000,0.000000,1.000000,"La democracia se construye dentro y fuera de las casas."
0,0.000000,0.000000,0.000000,1.000000,"Creo que se impone un plan de emergencia contra la violencia basada en género que encolumne a todo el Estado."
0,0.000000,0.000000,0.000000,1.000000,"El Uruguay que necesitamos necesita a todas las mujeres."
-3,-0.557400,0.000000,0.286000,0.714000,"Debemos reconocer esta situación de emergencia sin excusas ni demoras."
0,0.000000,0.000000,0.000000,1.000000,"Creo que es ahora."
0,0.000000,0.000000,0.000000,1.000000,"Muchas gracias."
0,0.000000,0.000000,0.000000,1.000000,"Yo como uruguaya estoy orgullosa de que en nuestro país tenemos más derechos garantizados en salud."
0,0.000000,0.000000,0.000000,1.000000,"Hemos hecho una verdadera revolución con un Sistema Nacional Integrado de Salud que cambió radicalmente la salud pública y la salud privada."
0,0.000000,0.000000,0.000000,1.000000,"Bajó a la mitad el índice de mortalidad infantil y esto es muy importante porque antes el índice de mortalidad infantil era distinto según el barrio en el que vivías: en Ciudad Vieja era de 20, en Pocitos era de 6."
0,0.000000,0.000000,0.000000,1.000000,"Y este sistema lo bajó a la mitad en todo el territorio nacional."
0,0.000000,0.000000,0.000000,1.000000,"Esa es una caracterización de un sistema de salud a nivel mundial."
0,0.000000,0.000000,0.000000,1.000000,"Desaparecieron las muertes maternas por abortos clandestinos, recuperamos desde los escombros los hospitales públicos y los convertimos en centros de referencia."
0,0.000000,0.000000,0.000000,1.000000,"Hicimos instituciones de punta, como el CUDIL."
0,0.000000,0.000000,0.000000,1.000000,"Pero además nos encargamos de hogares que nunca nadie atendió."
0,0.000000,0.000000,0.000000,1.000000,"Tuvimos que crear un plan de emergencia que al principio iba a atender 40.000 hogares."
0,0.000000,0.000000,0.000000,1.000000,"Descubrimos que eran 100.000."
0,0.000000,0.000000,0.000000,1.000000,"Descubrimos que había un Uruguay que estaba condenado a la exclusión y que nunca había sido registrado."
0,0.000000,0.000000,0.000000,1.000000,"Miles de compatriotas indocumentados, decenas de miles de personas que eran ciegas y que en realidad podían ver."
0,0.000000,0.000000,0.000000,1.000000,"80.000 personas recuperaron la vista."
0,0.000000,0.000000,0.000000,1.000000,"Y también en Educación hemos avanzado a pesar de la prédica deprimente, hay cosas maravillosas que pasan en la educación."
2,0.340000,0.156000,0.000000,0.844000,"Ha aumentado la matrícula de la UTU en un 50%, de una nueva UTU."
0,0.000000,0.000000,0.000000,1.000000,"Diversos índices: una inversión en infraestructura edilicia que es más del 50% de la infraestructura de ANEP; la tasa de la universidad, que sube un 50%; más de la mitad de los universitarios son primeros universitarios en su familia."
0,0.000000,0.000000,0.000000,1.000000,"También en la educación inicial: la mejor educación inicial con universalización en cuatro y cinco años, con una cobertura fabulosa a los tres años."
0,0.000000,0.000000,0.000000,1.000000,"El plan Ibirapitá, porque el nuevo mundo es para todos."
0,0.000000,0.000000,0.000000,1.000000,"Y también las multitudinarias Olimpíadas de Robótica donde viene gente de todo el país, niños y niñas del interior y de Montevideo."
3,0.542300,0.163000,0.000000,0.837000,"Incorporación de plataformas de matemática, enseñanza del idioma inglés; miles de jóvenes que se incorporan a la enseñanza media superior."
0,0.000000,0.000000,0.000000,1.000000,"Creo que hemos hecho mucho y que falta mucho más, y creo que los uruguayos y los uruguayas nos merecemos la excelencia."
-2,-0.296000,0.000000,0.239000,0.761000,"Pero no excelencia para pocos, excelencia para todos."
0,0.000000,0.000000,0.000000,1.000000,"Muy bien."
0,0.000000,0.000000,0.000000,1.000000,"La verdad es que una cosa es la interpretación de los hechos y otra cosa son los hechos."
0,0.000000,0.000000,0.000000,1.000000,"Nosotros podemos ver acá una copa medio vacía o una copa medio llena."
0,0.000000,0.000000,0.000000,1.000000,"El senador pone énfasis en ver la parte vacía."
0,0.000000,0.000000,0.000000,1.000000,"Yo pongo énfasis en ver cómo llenar esta copa, porque la verdad que lo que hay que recordar es que recibimos un país que era una copa vacía y que así lo volverían a dejar."
0,0.000000,0.000000,0.000000,1.000000,"Nosotros entendemos que hemos avanzado mucho en muchos aspectos de la educación y queda mucho por hacer."
0,0.000000,0.000000,0.000000,1.000000,"Y se puede hacer."
0,0.000000,0.000000,0.000000,1.000000,"Estamos proponiendo que el 100% de las escuelas pase a 7 horas, y lo podemos hacer porque hicimos cosas que parecían imposibles."
-2,-0.296000,0.000000,0.050000,0.950000,"Como el Plan Ceibal, que fue una demostración de que cuando los uruguayos queremos, podemos; de que la palabra imposible, no va. Una gran cantidad de cosas maravillosas suceden en la educación y en eso nos tenemos que afirmar para prepararla para el futuro."
0,0.000000,0.000000,0.000000,1.000000,"Sí, para seguir hablando de derechos también es bueno recordar que en pleno Plan Ceibal desde el Partido Nacional se nos acusó de estar formando idiotas informáticos."
0,0.000000,0.000000,0.000000,1.000000,"Pero acá lo importante son los procesos de igualdad, que yo creo que son el aire puro que renueva y revitaliza las democracias: hoy tenemos matrimonio igualitario, las mujeres pueden acceder a realizarse la interrupción voluntaria del embarazo de manera segura, hoy la población trans tiene sus derechos."
-2,-0.296000,0.000000,0.087000,0.913000,"La oposición no votó esta ley porque dice que está en la Constitución y justamente es la Constitución la que nos debe llevar acciones afirmativas."
