WORD,COUNT
abril,1
absolutamente,8
abundancia,1
acceder,1
acciones,1
aceptamos,1
acuerdo,3
acuerdos,4
acusan,1
acv,2
adecuamos,1
adelante,14
además,3
adicciones,2
adictos,1
administración,1
administrarlo,1
administrativo,1
adoptado,1
adueñar,1
adversarios,1
afiliado,1
afinidades,1
afirmar,1
afuera,1
agenda,2
agotó,1
agroindustrial,1
agropecuario,1
aguanta,1
ahora,1
ahí,1
aiguá,1
alarmante,2
alguno,1
algún,1
allanamientos,2
allá,2
alto,3
alumno,1
amiguismos,1
amplio,18
américa,1
ancap,1
ancladas,1
anda,2
antel,1
anular,1
apertura,1
aplicado,1
aplicar,2
aportes,1
apostar,1
apoyo,1
aprenda,1
aprieta,1
aprobado,1
aprovecharon,1
apuesta,2
aquí,2
arcas,1
arena,1
arroz,1
asegurar,3
asentamientos,1
asistencialismo,2
asistido,1
así,2
atenta,1
atrás,2
autonomía,1
autoridades,1
azote,1
año,3
años,12
bajan,1
bajarlos,1
bajo,2
banco,1
barrios,1
base,7
bases,1
basta,1
bastante,1
basura,1
bergara,1
bien,2
blanco,1
boca,2
bolsillo,1
bonanza,1
bonito,1
bonomi,1
bps,1
bueno,3
buscarle,1
cada,5
caducidad,1
calidad,3
calle,3
calles,2
cambio,3
camino,2
caminos,1
campeones,1
campo,2
canal,1
canalizan,1
candidato,3
candidatos,1
caricatura,1
caro,1
cartoncito,1
cartón,1
casinos,1
caso,3
celeste,1
centenas,1
central,1
centros,1
cercado,1
cerrando,2
chavistas,1
chile,1
chávez,1
ciencia,1
ciento,5
cifra,1
cinco,2
ciudades,1
clara,2
claramente,1
claridad,1
clase,1
clases,1
clima,2
club,1
clubes,2
colectiva,2
combatir,1
comisión,3
competente,1
complejas,1
comportamiento,1
comprender,1
comprensión,3
compromiso,1
concordatos,1
concurso,1
condena,1
condiciona,1
conducir,1
confianza,1
confía,1
conjuntamente,1
conscientes,1
consistente,1
constitucional,2
constitución,3
construcción,1
construir,1
consumo,1
continuar,1
contralor,1
contribuyen,1
contundentes,1
copa,2
copados,1
corporaciones,2
corresponde,1
corrupción,1
cosa,1
cosas,2
cosse,1
costo,2
costos,1
crearon,1
crecido,1
creciendo,1
creciente,1
creemos,6
creo,7
criticada,1
cruel,1
cualquier,1
cuanto,1
cuatro,1
cuba,1
cuestión,1
cuida,1
cuidado,1
cuidar,2
culpa,1
cultura,1
cumplan,1
cumplido,1
cumplieron,1
cumplimiento,1
cumplir,4
cáncer,1
cárcel,1
